jobrequirements,bias,againstgroup
Travel Requirements (up to 15%),2,10
The employee must regularly lift and/or move up to 50 pounds safely.,2,10
"You have ensured marketing materials adhere to brand guidelines, and measure and monitor the effectiveness of each project.",2,1
Conduct credit application calls with vendors as needed.,2,11
"Dust and wipe clean shelves, cases and products.",0,0
Understand and follow written and verbal instructions.,2,11
Ability to work within a dynamic and fast-paced environment.,2,100
Must be in good standing with TW.,2,10
Must be able to lift 50 pounds.,2,10
Ability to stand for prolonged periods of time (up to 7 hours per 8-hour shift),2,10
Strong written/ verbal communication skills required.,2,11
Master's degree in Mechanical Engineering or related field,2,1000
Ability to travel 60%+ of the time is required.,2,10
Support content strategy leads on analysis and communication of content utilization and impact.,2,11
"3+ years of experiences in customer facing roles, such as Sales Engineer, Technical Marketing Engineer, Consulting Engineer, or Solution Architect",0,0
"Make sure all travel arrangements run according to plan, and that the accommodation, meals and        service are satisfactory",2,10
A sense of urgency to respond quickly to client needs; demonstrated organizational skills and an attention to detail.,2,1000
Offer competitive compensation rates,2,100
Use appropriate level of authority for account concessions (determine if amount is owed or written off to GL),2,11
"Communicates effectively both in person and over the phone, email and in presentations",2,101
Excellent knowledge of the English and Russian languages (writing and verbal),2,11
"Ability to read, write, and speak Spanish.",2,11
Outstanding written and oral communication skills.,2,11
Must be authorized to work in the United States with the willingness and ability to travel to and from the U.S. and Canada.,2,10
Strong interpersonal skills; ability to communicate professionally across the organization,2,100
Communication Skills - Be able to effectively communicate orally and in writing.,2,11
Ability to push or pull up to 2000 pounds using a pallet jack or float,2,10
"Travel to job sites to gather information on materials needed, labor required, and other factors",2,10
Travel to customer and industry partner facilities to execute projects and conduct advanced technical training sessions,2,10
"Organize conferences, round-tables and presentations",2,101
"Passionate about the PFS mission, vision, & core values All other customer support functions as needed Projects and other duties as assigned",2,1
Use visual tools and resources to maintain and enhance in-store presentation.,2,111
Must have scientist knowledge of biomaterials.,0,0
Monitor the Materials Department workload and insure that the Department is adequately staffed,2,1
Use of the Salesforce API to build read and write connections to third party applications.,2,11
An exceptional individual interested in working on cutting edge technologies,2,10
Strong attention to detail and accuracy.,2,1000
Presents risks to the insurance marketplace for quoting.,2,1
Outstanding communication skills (written and oral) including experience responding to RFIs/RFPs,2,11
Ability to communicate clearly and effectively in written English with internal and external customers.,2,11
Excellent organizational skills with a strong attention to detail.,2,1000
Monitor application storage usage and archive data as needed.,2,1
"Exceptional communication, presentation, active listening, analytical, and problem-solving skills",2,111
Medical writing skills,2,11
"Assess, monitor and report environmental and social (E&S) risks associated with the bank's loan portfolio",2,1
"Cold calling experience is a must, wholesale experience isapreferrednot a must.",2,11
"Professional appearance, verbal/written communication, strong negotiation and presentation skills",2,111
Provide comprehensive training via phone and email throughout the duration of the client marketing process.,2,1
Represent the International Account Manager in meetings when the Account Manager is traveling;,2,10
"Strong organizational, communication and interpersonal skills",2,111
Monitor the strict adherence to governance and set high standards of professionalism across the functions.,2,1
Medical/Dental/Vision Coverage,2,1
Participate in customer facing meetings and presentations,2,101
"Strong communication and status sharing skills, and excellent listening skills",2,11
Provide assistance with technical issues,0,0
Ability to travel up to 30% on an annual basis,2,10
Excellent customer service and communication skills,2,11
"Keep abreast of the developments in the mobile communications industry, changes in the environment and market place",2,11
"Develop and maintain effective communication with colleagues, suppliers and major customers",2,11
Able to travel between Camden and NYC offices (25% of the time).,2,10
Competitive base salary plus uncapped commission plan,2,100
"Excellent written and verbal communication skills, sound judgment and ability to learn quickly.",2,11
"3+ years in digital marketing, marketing communications",2,11
"Cooperation, Consideration, Communication, Accountability, and Innovation.",2,11
"Review financial transactions and monitors budget to ensure efficient operation, and to ensure expenditures stay within budget limitations.",2,1
"Physical ability to perform tasks that may require prolonged standing, sitting and other activities necessary to perform job duties.",2,10
General product knowledge,0,0
"Travel per the company travel policy, sometimes overnight and away from home",2,10
Ability to travel at short notice inside Armenia and to Georgia,2,10
Skilled in effective communications and interpersonal skills.,2,111
Negotiate with partners for finding competitive prices,2,100
Strong analytical and problem-solving skills with a high attention to detail.,2,1000
"Time management, communication skills, decision making, interpersonal, computer and organizational skills",2,111
"Trains and develops independence skills related to employment, such as travel training, hygiene, self-advocacy, etc.",2,10
Occasional overnight travel required.,2,10
Provide required training to support qualification activities,0,0
Solid presentation skills.,2,101
Ability to work overtime if necessary,2,100
Excellent written and verbal communication skills with the ability to convey concepts to a variety of audiences,2,11
Handle daily P&L responsibility- with attention to all beverage costs and labor costs,2,1000
Coordinate devotional meetings of the ADP,0,0
Experience building and managing product teams of 2 - 10 product managers,0,0
Excellent Phone Skills,2,1
Ensure communication with agriculture and agribusiness development agencies in Armenia  including USDA legacy projects,2,11
"Monitor the pricing policies and demand for brand competition, define the product position relative to the same or similar products of competitors",2,1
Knowledge of English and Russian languages is a plus (spoken and written),2,11
Proven writing and editing skills in English and Armenian languages (Russian language is a plus),2,11
Responsible for prompt handling of inquiry calls and monitoring the efficient flow of paperwork relative to confirming function details to the client.,2,11
"Ability to travel approximately 25%, including internationally.",2,10
Good and clear communication skills in Armenian and Russian languages,2,11
Minimal lifting up to and above 50 pounds,2,10
Compiling and tracking call results report,2,11
Ability to lift 30 pounds.,2,10
Well-developed written and verbal communication skills.,2,11
"Ensure all requests are dealt with accurately and they receive the appropriate service, attention and follow up",2,1000
At least 3 years of relevant practical experience in administration and communication at the national or international level,2,11
Proven ability to manage multiple projects at a time while paying strict attention to detail.,2,1000
Monitor performance and make recommendations for improvement when appropriate.,2,1
"Candidates must have excellent communication skills and able to work in a highly team-oriented and dynamic environment,",2,11
Render high-level presentations to secure preferred virtual/physical brand placement and maximize search optimization.,2,111
"Ace training, use product knowledge tools, participate in fit sessions and put those experiences to use.",0,0
"Demonstrated ability to multi-task, work in a fast-paced environment and meet deadlines",2,100
"Schedule meetings and appointments, arrange and coordinate events, and manage travel itineraries.",2,10
Train new CHC's within market and introduce to clients. Monitor progress during first 90 days of employment.,2,1
"Excellent communication skills-verbal, written and electronic",2,11
Monitor partnership building and make assessment of impact on performance of Armenian enterprises,2,1
Ability and willingness to travel 10 percent of time in ADP communities,2,10
Experience selling via phone and web conferencing,2,1
Ensure physical control and proper care of company assets; account for movement of physical assets within the software in a timely fashion,2,10
Partner Communications,2,11
"Requires grasping, writing, standing, sitting, walking, repetitive motions, bending, climbing, listening and hearing ability and visual acuity.",2,11
Monitor the effectiveness of the integrated management system by supporting the procedures of regular and planned internal audits,2,1
Work with Sales to provide projected cost for budgetary quotes on potential customer proposals,2,1
Provide support in the coordination of Armenia L&D programme and monitor the related budget,2,1
Proven ability and comfort to achieve daily high outbound calls (75+ calls per day average.),2,11
Requires travel within an assigned territory. Must live in assigned territory.,2,10
Clear and effective presentation skills (from initial creation to delivery),2,101
"Superb customer service, administrative, and verbal and written communication skills",2,11
Provide first line technical support to customers taking enquiries by phone and email,2,1
Pulling and completing orders in a timely manner for customers based on sales orders for either delivery or pickup.,0,0
"Triage failures, identify root-cause, provide re-creatable steps and define corrective actions",0,0
"Major Medical, Dental, Vision Insurance & Prescription Coverage for Eligible Employees",2,1
Review & audit final quotes for accuracy and completeness based on the approved estimate and the client requirements,2,1
Good communication and interpersonal skills to work with stakeholders,2,111
"Extensive benefit package, including medical, dental, vision, and life insurance",2,1
Must be able to stand for long periods of time.,2,10
"Strong, professional communication skills in working with customers and team members",2,11
Ability to work calmly under pressure and meet tight deadlines,0,0
Marketing / communications professional with a minimum of 6-12 years relevant experience.,2,11
"Neat in appearance, articulate and able to assist sales with calls on prospects and customers",2,11
Flexibility with internal traveling,2,10
"Provide accurate information to visitors in person, by phone and online",2,1
Ability to speak and write effectively to present information.,2,11
"BA in Marketing, Advertising, Communications, or another quantitative field",2,11
Proficient with Microsoft Office applications.,0,0
"Ensures the accuracy of all bids, invoicing, and special order quotes.",2,1
Physical ability to stand for multiple hours and lift or move 40-pound objects,2,10
"Possess strong interpersonal skills, including conflict resolution skills, with the ability to work with employees across departments;",2,100
"Screen phone calls, enquiries and requests, and handle them when appropriate",2,11
account management: 2 years (Required),0,0
Willingness to travel up to 25% of the time.,2,10
"Meticulous, organized, extreme attention to detail.",2,1000
"Able to lift 30 lbs., install subsystems into process equipment, and make adjustments within equipment",2,10
Utilize excellent listening skills to identify issues and present solutions,2,1
Computer knowledge (Microsoft Office),0,0
"Ability to reach, lift, stack, and maneuver objects of varying dimensions and weights up to approximately 55 lbs.",2,10
Good knowledge of English and Russian languages both communication and technical level,2,11
Support Sales with technical presentations to current and potential customers.,2,101
"Assess, monitor and improve company culture and lead required change and growth in a collaborative and productive manner",2,1
"Translate conceptual ideas (business needs and user goals) into elegant, intuitive and engaging experiences",0,0
Must be willing and able to travel on a local basis utilizing your own vehicle.,2,10
Excellent writing and editing skills,2,11
Fluent knowledge of oral and written Russian and English languages,2,11
"Ability to travel to Toronto, Canada for initial training for 3-4 weeks",2,10
Conduct weekly meetings with assigned Premier accounts.,0,0
Master's degree in Marketing,2,1000
Have a keen eye and display excellent attention to detail,2,1000
High sense of responsibility and attention to details,2,1000
Accurately quotes machined parts to customers in a timely fashion.,2,1
"Good oral and written communication skills in Armenian, Russian and English languages",2,11
Ensure local competitive pricing and product through regular research,2,100
Confident team player with strong interpersonal skills who can work across multiple functions to achieve goals.,2,100
"Sell a service which will maintain, monitor, and manage the systems and networks of clients",2,1
At least 1 year of work experience in financial and banking sector,0,0
"Excellent communication skills, including verbal, written, interpersonal and presentation",2,111
Capability for traveling and field work,2,10
"Responsibilities may include management of staff, some off-site travel and client-facing interactions.",2,10
Monitor market quarterly using competitive study.,2,101
Monitor competitive environment.,2,101
Monitor application performance,2,1
Responsible for commissioning works,0,0
Monitor personnel performance,2,1
"Answers phone calls, voice mails, and e-mails promptly.",2,11
"Effective in ""four-legged"" call situations",2,11
Perishables distribution center experience preferred,0,0
"Demonstrates teaming behaviors including effective communication skills face-to-face, via email, and on the phone",2,11
Excellent written and oral presentation skills.,2,111
"Demonstrate enthusiastic professionalism, superior communication skills and an unwavering commitment to delivering client value.",2,11
"Analyze, solve, and correct customer service issues using the LEAP technique (Listen, Empathize, Ask, and Produce).",2,1
Strong engagement and communication skills,2,11
"Speaking fluently about software, website and mobile app development processes",2,1
"Self-generate leads by contacting prospective clients via telephone, cold call premise visits, networking and industry events.",2,11
"Excellent Benefits, to include Medical, Dental, Vision, Life Insurance, Profit Sharing Plan and 401(k) Plan",2,1
Study Protocol and Report writing,2,11
Experiences in technical writing and Good communication skills,2,11
At least two years of experience in marketing using these or similar tools,0,0
Excellent communication skills both written and verbal.,2,11
Follows up with all void/hold tax return clients to persuade them to return to the office and file their tax return.,0,0
"required to stand, walk and reach with arms.",2,10
Solid interpersonal and communication skills in order to close deals and deliver presentations,2,111
"Employee discounts (fitness, phone)",2,1
"Capacity to assist writing rationales that are scientifically based, with scientific literature references when required.",2,11
Ability to rarely lift and carry <25 lbs. and rarely push/pull up to 50 lbs.,2,10
Monitor the cleanliness and organization of the store.,2,1
Minimal travel required (Trade Shows and Events),2,10
Monitors pool activity and gatehouse security,2,1
Ability to quickly handle emergency situations,0,0
Monitor the financial relationship between clients and the company,2,1
"Provide clear, concise and timely communication of detailed requirements to operational departments.",2,11
Frequent use of telephone,2,1
Excellent attention to detail.,2,1000
"Strong behavioral competencies around emotional intelligence, collaboration, active listening and conflict management.",2,1
"Meet & exceeding KPI's - including prospecting activity (email, phone etc.) lead generation, meeting quality, conversion to opportunity",2,1
"Develops layouts, writes ad copy and prepares sales presentations",2,101
Must be able to handle stressful work environment and demanding clients.,2,100
Document the future solution to help with the production of custom presentations and demonstration documentation.,2,101
Healthcare/Vision/Dental Insurance,2,1
"Ability to thrive in a high-energy, fast-paced environment and embody the hustle and drive to do well in them",2,100
"Act as liaison for project; Respond to requests, answer phone and greet visitors",2,1
"You love the fast-paced environment of a growth-stage company, and possess a scrappy, hands-on, roll-up-your-sleeves approach.",2,100
Must exhibit a positive attitude and interpersonal skills.,2,100
Lead customer visit pre-calls via phone / Webex and conduct post visit follow up,2,1
Strong interpersonal and communication skills. Ability to deal effectively with a wide range of personalities - both within the company and outside,2,111
Strong interpersonal and organizational skills,2,100
"Analyze, develop and monitor metrics and key performance indicators; provide appropriate reporting to senior management",2,1
Able to interface effectively with individuals at all levels within the division.,0,0
"Recruit, interview, and select staff that have the right technical abilities and skills.",0,0
"Must be enthusiastic, goal-oriented, ambitious, competitive, and self-motivated",2,100
Ensures marketing communications and marketing adaptations are on-strategy and consistent.,2,11
Developing multi-media sales presentations for local and national sales efforts,2,101
"Research and monitor competitive pricing, communicate market pricing, devise pricing strategies which optimize company profitability",2,101
"Experience with documenting systems, physical, logical, and module level architectures.",2,10
Strong listening skills and ability to ask probing questions,2,1
Works to achieve brand consistency and the highest standards for communications.,2,11
ASIS Physical Security Certifications (Preferred),2,10
Professional personal appearance and excellent communication skills,2,11
"Own strategy, vision, and execution of Enterprise sales team across all verticals.",2,1
"Ability to use communications software and possess above average computer skills including Microsoft Excel, Word, Office and PowerPoint.",2,11
"Respond to RFP's, develop proposals, and deliver presentations to customers",2,101
"Retain and renew assigned customer accounts through solution-based selling and account management via phone calls, email and in-person visits.",2,11
Possess excellent telephone skills.,2,1
Communication skills in Armenian language,2,11
Walk the property for curb appeal and overall property appearance,2,10
"Medical, dental, vision insurance coverage options",2,1
"Positive and energetic phone skills, excellent listening skills, and strong writing and presentation skills are essential",2,111
"Frequent standing, walking and sitting.",2,10
Receiving calls and/or greeting visitors,2,11
Experience with rate making methodologies and competitive pricing analysis,2,100
Development using Visual Force/Apex programming is a plus,2,10
Employee discounts with the STAR Program,0,0
Competitive hourly rate and performance plus opportunity to bonus,2,100
Ability to work under pressure and handle stressful situations,2,100
"Great organizational, verbal and written communication skills.",2,11
Possess excellent interpersonal and organizational skills.,2,100
"One year of experience in a similar fast-paced technology environment, preferably in the gaming industry",2,100
"We provide competitive health, dental, vision and life insurance for employees and their families",2,101
Strong computer and outreach/ communications skills,2,11
Strong communication skills on the telephone,2,11
Ability to sell consultatively by listening to customer needs and shaping a shared vision for a solution,2,1
The ability for business travel on a regular basis.,2,10
"May be required to travel to other locations, e.g. transfer to other stores, bank, meetings as business dictates.",2,10
"Receive and process customer orders by phone, fax and email.",2,1
Organized with an attention for detail,2,1000
Have exceptional communication skills including listening and problem analysis,2,11
"Create strategic business reports providing clients with meaningful, actionable insights about their brand, products, or campaigns",0,0
Experience managing at least two large-scale full-life cycle implementations of CRM solutions,0,0
Must be able to write simple correspondence,2,11
"Writing the final customized proposal committing to scope, timeline and cost.",2,11
Lead and facilitate sharing best practices within ADP-s and outside World Vision (WV) related to CP & Education,2,1
Affix proper postage to packages in preparation for shipping,0,0
"Master's degree in Statistics, Applied Mathematics, Economic Cybernetics, Engineering or related fields",2,1000
Excellent oral and written communication skills for internal and customer facing engagements,2,11
"Assist the English and Exams team with the travel arrangements of guests (flight, hotel booking and transportation)",2,10
A self starter driven to achieve revenue targets primarily through cold calling.,2,11
Proposal writing skills,2,11
"Influence senior leadership decisions by providing weekly reports on sales funnel, sales call activity and 30/60/90-day forecasts.",2,11
Perfect writing and editing skills,2,11
Execute and monitor loss prevention and shrink programs,2,1
"Monitor and analyze the financial performance of landscape projects to ensure timeliness, profitability, and customer satisfaction",2,1
"Must be comfortable with heights, working on ladders or lifts, or in confined spaces.",2,10
Demonstrate effective project management including personal time management and ability to multi-task in a fast-paced environment,2,100
"Ability to multi-task and advance activities across concurrent workstreams, with the ability to work towards goals in a fast-paced environment.",2,100
A self motivated individual with good documentation and communication skills,2,11
Work with the Retention team to ensure successful renewals,0,0
Executive assistant or comparable experience,0,0
Bilingual. Excellent writing skills and fluent speaking in Spanish and English.,2,11
"Ability to operate computer, telephone, 10-key and other office equipment",2,1
"S/he understands the marketing and internal communications technology landscape, understands the needs and mindsets of these stake holders.",2,11
Continuous standing and walking,2,10
"Significant experience with Marketing, CX technologies and UX concepts and standard methodologies",0,0
Well-developed interpersonal skills.,2,100
"Exceptional communication, presentation conflict mitigation skills",2,111
"Provide insight to strategic changes and implements fresh new ideas that will keep the Company vibrant, successful, and forward thinking.",0,0
"Exceptional presentation, collaboration, interpersonal, problem solving, and verbal & written communication skills",2,111
Ergonomic workstations with sit stand desks,2,10
Greeting and Answering Phones and direct clients to the appropriate person,2,1
"Monitors local market trends and conditions, and updates property comparables once a month.",2,1
Communications/Public Relations,2,11
Give spoken commentaries about places en route,2,10
Must have good communication skills and be organized and efficient,2,11
Show apptitude and interest to learning the business and contributing to the business outcomes using data,0,0
"Excellent interpersonal and communication skills, both verbal and written",2,111
"Ability to write PHP, Javascript code",2,11
"Strong desire to work in a fast-paced, high-growth environment",2,100
"This position requires frequent sitting, use of keyboard/monitor, and telephone.",2,11
"Group health coverage (medical, dental, & vision)",2,1
Preparing necessary presentation materials for meetings.,2,101
The successful candidate will provide technical consulting services for Information Technology security projects,0,0
Finger dexterityAbility to work with fingers for handling coins or other small objects and use a keyboard.,0,0
"Strong interpersonal and organizational skills, excellent verbal and written communication skills in Armenian, Russian and English languages",2,111
No travel is required in this position.,2,10
Collect and report competitive data to assist in development and execution of our strategies.,2,100
"Analyze potential opportunities. Create, monitor and update a tracking document for Phase 3/Commercial team.",2,1
Strong sense of urgency to handle multiple tasks concurrently and maintain focus during fast paced and moderately stressful environment.,2,100
Highly customer-oriented with strong communication skills,2,11
Good verbal and written English language skills,2,11
Ability to travel to meet with specific partner and client stakeholders quarterly,2,10
Monitor and document project progress,2,1
Write code and comment it accurately,2,11
"Answer customer inquiries via phone, in person and internet.",2,1
Ability to create HR communications appropriate for the audience,2,11
"Lifting, standing, kneeling, crawling",2,10
Regular use of a telephone and e-mail for company communication.,2,11
Strong interpersonal skills and passion for serving others,2,100
"In collaboration with Account Manager, create and deliver formal written and verbal presentations to clients.",2,111
Act as central point of contact for RFI/RFQ/RFP/Quotes.,2,1
Possesses desire to work in a fast-paced environment where the work is challenging and the results highly rewarding.,2,100
"Ensure minimum cold calls, booked demos and sales revenue generated meet or exceed set minimum quota levels.",2,11
Ability to communicate intelligence and analysis of cyber threats in various forms (written production; briefings) for a senior-level audience,2,11
"Ability to thrive in a team-oriented, competitive, fast-paced environment.",2,100
Excellent verbal and written communications skills,2,11
Strong oral and writing communication skills,2,11
Monitors changes in the sales / special events industry and develop strategies to improve and adjust to those changes,2,1
Complete pricing and gross margin analysis,0,0
Ability to travel to provide services to clients; and nationally up to 75% of your time.,2,10
"Strong interpersonal, client services and communication skills",2,111
"Document all communication with schools, teachers, students, and parents during the sales process",2,11
Develop relationships with partners via online communication,2,11
"Telephone, oral and solicitation skills are required",2,1
"Excellent sales management, negotiation, problem solving, and interpersonal skills",2,100
Ability to travel 20%,2,10
"Hands on experience with various selection processes (phone interviewing, reference check etc)",2,1
Fluency in English (written and oral),2,11
Communicating effectively in written and oral formats to various situations and audiences;,2,11
"You have excellent written and verbal communication, listening, negotiation and presentation skills.",2,111
"Requires positive, competitive, confident personality with strongly developed persuasive skills and a customer-focused orientation.",2,100
Advanced knowledge of and experience in WinAPI and Visual Studio Environment,2,10
"Help measure and report the performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)",0,0
Establish a communication schedule to update stakeholders including appropriate staff in the organization on the progress of the project,2,11
Fluency in Armenian language (written and verbal),2,11
"Excellent listening, verbal and written skills",2,11
"Desire to dig for customers, ability to talk to restaurant owners and not afraid of cold calling",2,11
Cold call people using a given phone directory to sell products or solicit donations,2,11
"Maintain positive interaction and communication with parents, colleagues and others as needed",2,11
Respond to information requests and exchange routine information via telephone and email,2,1
Strong communication skills - Both written and verbal (proven written communication skills),2,11
"Proven skill in creating, writing, and analyzing business/marketing plans, objectives,strategies.",2,11
Competitive Salary with Annual Bonus,2,100
Monitor and report on activities and provide relevant management information,2,1
"A Bachelor's degree in Communication, Business, Marketing, or related fields, or relevant experience.",2,11
Good communications (both written and oral) and teamwork skills,2,11
"Assist in the management and content development for diverse communications, including member newsletter, website, email, and social media.",2,11
Ability to take the initiative within a fast-paced company,2,100
Answer incoming phone calls and handle accordingly,2,11
Some travel required (15%.).,2,10
Read and get acquainted with the maps and timetables,2,11
"Demonstrated ability to multi-task, extreme attention to detail, & ability to prioritize",2,1000
Willingness to travel 50%-75%,2,10
Bachelor's degree required. In Marketing or Communications preferred.,2,11
Analyse the trends of the market and make competitive analyses,2,100
Help customers identify at-risk data and/or devices,0,0
Prior call center or help desk experience is required,2,11
Keep up-to-date on relevant competitive solutions and work with internal teams to provide competitive responses where needed,2,100
"Ability to travel 10% of the time, if required.",2,10
Strong analytical and problem solving skills with a high attention to detail and lean thinking,2,1000
"Strong interpersonal skills, excellent communication skills (verbal, written, and presentation)",2,111
Willingness and ability to travel to service this area.,2,10
"Proficiency in the usage of PC including Microsoft Office, knowledge of graphic design will be an asset",0,0
"Monitor emergency call system and respond via set protocol, and maintains and employs knowledge of most current emergency procedures and manuals.",2,11
"Professional, creative, and fun environment",0,0
"Participate in prospecting and sales cycle (visits, proposals, presentations); educating customer on products, services and processes",2,101
Ability to ensure each section is written in a consistent format and completed according to the RFP instructions and the Donor guidelines,2,11
"Hands-on experience with Salesforce Account, Contacts, Opportunity, Quote, Reporting, and Dashboard functionality",2,1
"Continuously use writing instruments, computer and telephone.",2,11
Requires strong customer orientation and excellent interpersonal and communication skills.,2,111
Excellent phone presence,2,1
Complete weekly telemarketing calls to solicit new and untapped business leads within the Sales Coordinator's specified market segments.,2,11
Working knowledge of relevant computer programs (e.g. CRM software) and telephone systems,2,1
"Ability to work in a fast-paced environment with changing priorities, deadlines and handle concurrent projects",2,100
Implement written translation of various project-related documents and oral translations (if applicable),2,11
Meet personal/team targets and call handling goals.,2,11
Working understanding of Industrial network configuration and setup for different communication protocols.,2,11
Track record of meeting tight deadlines in a fast-paced environment with several competing priorities.,2,100
Ability to lift 80 pounds,2,10
"Strong interpersonal, organizational, communication, and coordination skills",2,111
Strong written and oral communication skills in English and Armenian languages,2,11
Implement approved sales plan and action plans as directed.,0,0
"High degree of professionalism with basic skills in presentation, negotiation, time management and organization regarding sales.",2,101
"Bachelor's degree in marketing, communications or business",2,11
Potential to travel - less than 20% if at all,2,10
Process call in credit card payments,2,11
Maintain and update company's website and handle web communication,2,11
"Occasionally required to stand, walk, sit, used hands to finger, handle, or feel objects, tools or controls.",2,10
Experience in marketing and communications a plus,2,11
Good knowledge of English language (spoken and written),2,11
Expert communication and presentation skills with ability to clearly present your work; you are articulate and can advocate design rationale.,2,111
"Extensive domestic and international travel, with up to 80 %",2,10
"Ability to use voicemail, telephone, calculator, computer, printer and photocopier",2,1
"Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT technology space.",0,0
Assists other account clerks as needed.,0,0
"Excellent interpersonal skills, positive attitude and a high energy level",2,100
Present the complete value proposition via customer virtual meetings and telephone calls.,2,11
Desire to work in a fast-paced environment with a diverse group of people,2,100
Heavy travel required (30 or more days per year),2,10
Develop and manage communications and fundraising systems,2,11
Leading through vision and values,2,1
Issue purchase orders to co-packers and monitor completion through a reconciliation between expectations and receipts,2,1
Executive presence and excellent communication and presentation skills.,2,111
Excellent telephone etiquette skills and on-site support skills,2,1
Maintain open lines of communication for feedback from retail staff,2,11
Possesses strong written/verbal communication and organizational skills,2,11
Moderate all user-generated content and monitor user comments in line with our client's company policy for each state,2,1
Summarize findings and prepare reports and presentations on the current state of the system and possible developments,2,101
Attention to detail and strong follow-up skills,2,1000
"Write, edit announcements, articles, case studies, media alerts and corresponding materials/ fact sheets",2,11
"Lead, monitor, measure, and analyze the effectiveness of marketing programs, campaigns, activities & initiatives as they relate to company objectives.",2,1
"Ability to prioritize multiple tasks amid changing needs and demands, maintaining a constant attention to detail.",2,1000
Fluency in written and spoken Armenian and English languages,2,11
"Lead the design and execution of marketing events including event invitations, distribution lists and materials",0,0
Extend administrative support to departments,0,0
"A full suite of health, dental, and vision plans",2,1
Ability to develop written business cases using Excel and PowerPoint,2,11
