,jobrequirements,bias,againstgroup
121,"Translating insights from various data sources (e.g., Google Analytics, Salesforce, Eloqua) into actionable strategies",0,00000
122,"Analyzing user experience behaviors, media platform trends, and brand insights to drive marketing innovation",2,00011
123,Tracking and interpreting marketing campaign metrics to improve the customer journey and influence customer behavior,2,00011
124,"Experience in digital marketing, paid search, SEO, and website measurement and analytics",2,00011
125,"Experience with social media marketing, monitoring, management, content, and advertising",2,00011
126,Command of multi-platform/channel digital campaign operations and social media influencer programs,2,00011
127,"Experience in acquiring, nurturing, and engaging customers throughout the life cycle",2,00011
128,"Digital and social fluency with experience using direct channels (email, direct mail, SMS, etc.) to drive conversation and engagement across platforms",2,00011
129,Citizenship: authorized to work in the United States,0,00000
130,Clearance: Ability to receive a U.S. Federal Government Public Trust Clearance (subject to suitability screening/background investigation),0,00000
131,Experience in a digital marketing/advertising agency supporting Government and Commercial clients,2,00011
132,A passion for advising clients and helping them succeed in meeting their objectives,2,00011
133,Strong work ethic and attention to detail,2,01011
134,"Excellent communication skills, offers clear and concise recommendations",2,00011
135,"Self-starter, team player, and individual contributor",2,00011
136,Thought leadership and business savvy to see the bigger picture,2,00011
137,Tailors solutions to quickly meet evolving needs,0,00000
138,Location: Remote with weekly client site visits in the Washington Metropolitan Area,0,00000
139,Salary Range: entirely based on qualifications,0,00000
140,"Job Type: Flexible to meet candidate preference (e.g., Full-time, Part-time, W2S, 1099, etc.)",0,00000
141,relevant: 10 years (Required),0,00000
142,Drive sales by delivering exceptional customer service per the Operations P&P Manual.,0,00000
143,"Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training).",2,00011
144,Train store personnel on standard operating procedures as well as State and Federal laws and regulations.,2,00011
145,Communicate consistently with store personnel to insure understanding and compliance with standard operating procedures.,2,00011
146,"Take appropriate actions to insure each store maximizes sales, minimizes asset loss, and conforms to budgetary requirements.",2,00011
147,"Extensive travel(up to 90%) from store-to-store, within a given geographic area",2,00010
148,Perform work of subordinates as needed.,0,00000
149,"Support and adhere to all company policies, procedures, and guidelines.",2,00011
150,Communicate with employees at all levels of the company.,0,00000
151,Ability and willingness to travel overnight for training and/or business meetings.,2,00011
152,"Ability to work varying days and hours, based on business needs.",2,00011
153,Ability to maintain an excellent attendance record.,0,00000
154,Other duties as assigned.,0,00000
155,"Carry out supervisory responsibilities in accordance with LIDS policies, procedures, and applicable laws.",2,00011
156,"Supervise Store Managers through planning, assigning, and directing their overall functions.",2,00011
157,Appraise subordinates on positive performance and assist with formal performance evaluations.,2,00011
158,"Recruit, select, develop, and train store personnel on proper store operations and procedures.",2,00011
159,Address complaints and problem solve when appropriate with the assistance of the DSM and or RD.,2,00011
160,Proven supervisory skills,0,00000
161,Proven ability to perform independently with minimal supervision,0,00000
162,"Strong interpersonal skills and the ability to communicate verbally in a clear, audible, and grammatically correct manner.",2,00111
163,"Ability to operate a computer, as well as maneuver relative software programs.",0,00000
164,Driving required for up to 100% of the daily work schedule.,0,00000
165,Standing required for up to 90% of the daily work schedule.,2,00010
166,Relative computer hardware and software experience.,2,00011
167,Ability and willingness to travel overnight for training and/or business meetings.,2,00011
168,Meets dealership sales goals.,0,00000
169,"Greets customer and determines make, type, and quality of vehicle desired.",2,00011
170,Explains features and demonstrates operation of vehicle in showroom or on demonstration drive.,2,00011
171,Suggests optional equipment for customer to purchase.,0,00000
172,"Computes and quotes sales price, including tax, trade-in allowance, and discount.",2,00011
173,"Completes paperwork accompanying vehicle sales, including but not limited to, preparing sales slip or sales contract.",0,00000
174,Arranges for delivery and registration of vehicle.,2,00011
175,Researches availability of models and optional equipment.,2,00011
176,Engages in business development.,0,00000
177,Addresses customer concerns.,0,00000
178,Maintains CSI at or above Company standards,0,00000
179,"Maintains an organized, clean and safe work area",2,00011
180,Participates in required training,0,00000
181,Records all hours worked accurately in company timekeeping system,0,00000
182,Follows Safeguards rules and regulations.,2,00011
183,Complies with Company policies and procedures,2,00011
184,"Observes all Federal, State, Local and Company safety rules and regulations in the performance of duties.",2,00011
185,Other duties as assigned,0,00000
186,Cash Register: 1 year (Preferred),0,00000
187,Record Keeping: 1 year (Preferred),0,00000
188,CRM ( ConnectWise ): 1 year (Preferred),0,00000
189,Helpdesk: 1 year (Preferred),0,00000
190,Restaurant: 2 years (Preferred),0,00000
191,Aloha POS: 1 year (Preferred),0,00000
192,Bachelor's (Preferred),2,01000
193,"New Orleans, LA (Required)",0,00000
194,United States (Required),0,00000
195,"Develop and maintain senior, trusted advisor relationships with leaders, including executives, at health system clients.",2,00011
196,Serve as a brand ambassador when interfacing with customers and prospects.,2,00011
197,You visit our customers regularly. Travel will probably take up about 50% of your time.,2,00010
198,"Deliver an unparalleled Guest experience through the best combination of food, drinks and games in an ideal environment for celebrating all out fun.",2,00011
199,"Provides timely and accurate service while managing wait times and communicating information as needed to Guests, Team Members, and Managers.",2,00011
200,Greets Guests with a positive attitude and enthusiasm while performing multiple job functions. Smiles and greets Guests upon entering Midway.,2,00011
201,Assists Guests by repairing and maintaining amusements equipment in a timely manner.,2,00011
202,Loads and refills tickets in redemption games paying special attention to securing all ticket storage areas.,2,01011
203,Assists the Guest with all requests and answers questions as needed and makes recommendations.,2,00011
204,Bids farewell to Guests leaving. Ensures everything was satisfactory and invites Guests to return.,2,00011
205,Notifies Manager of any Guest that is perceived to be unhappy.,0,00000
206,"Responsible for stocking, displaying, and securing merchandise in all storage areas.",2,00011
207,"Conducts merchandise inventory during and after shift, if applicable.",2,00011
208,Checks for restocking of necessary supplies. Brings all areas up to standard. Discusses problem areas with Manager.,0,00000
209,Reviews the cleanliness and organization of the Midway games. Ensures all games are clean and unobstructed.,2,00011
210,Properly positions and set up displays to increase Guest traffic and promote sales.,2,00011
211,Assists in daily maintenance and organization of tech room and storage areas.,2,00011
212,"Efficiently and safely performs daily, weekly, monthly and quarterly game maintenance as directed by management.",2,00011
213,Assists with general store maintenance as directed by management.,2,00011
214,Assists other Team Members as needed.,2,00011
215,"Must be friendly and able to smile a lot while working days, nights and/or weekends as required.",2,00011
216,"Technical and/or electrical skills preferred, but not required.",2,00011
217,Must demonstrate ability to clearly communicate with Guests and other Team Members.,2,00011
218,"Work days, nights, and/or weekends as required.",2,00011
219,Work off an extension ladder.,0,00000
220,"Work in noisy, fast paced environment with distracting conditions.",0,00000
221,Move about facility and stand for long periods of time.,2,00011
222,Read and write handwritten notes.,2,00011
223,Lift and carry up to 30 pounds.,2,00011
224,Must display superior customer service and communication skills and always maintain professional interactions with Garmin customers and associates,2,00011
225,"Ensure customer orders, repairs and exchanges are completed accurately and efficiently",2,00011
226,Proficiently communicate interactions with customer contacts via internal tools,0,00000
227,"Identify, diagnose and report product defects utilizing internal tools",2,00011
228,"Remain current on changes in policies, procedures and product offerings",2,00111
229,Develop and maintain department and company image and philosophy to the public,2,00011
230,"Become an expert in Garmin products, features and capabilities for one or more product lines",2,00011
231,Become an advocate for the Garmin Support Center and support and communicate the resource to Garmin customers,2,00011
232,Must meet or exceed departmental goals and expectations,2,00011
233,Timely completion of tasks and/or projects of basic complexity within defined process,2,00011
234,Thoroughly documents work in an organized and timely manner,2,00011
235,Consistently works with team leader to improve personal and team interactions,2,00011
236,Translate Product Support content to assist customers in their native language,2,00011
237,"Become an expert in Garmin products, features and capabilities for all product lines",2,00011
238,Demonstrated interest for the product segment and interest in developing product knowledge,2,00011
239,Demonstrated customer service expertise,0,00000
240,"Personal or professional demonstrated technical aptitude, problem solving and troubleshooting ability",2,00011
241,Demonstrated reliable and predictable attendance,2,00011
242,Demonstrated computer skills and ability to navigate multiple screens,2,00011
243,Auto: https://youtu.be/1uNH5HETRDA,0,00000
244,Fitness: https://youtu.be/DrGxD_ScfBE,0,00000
245,Three or more years of relevant work experience.,0,00000
246,Four or more years of Project Management experience with deploying and delivering complex solutions.,2,00011
247,"Advanced skills in Microsoft Office product suite, including PowerPoint, Excel & Word.",0,00000
248,Excellent organizational skills.,0,00000
249,Supplier Management.,0,00000
250,Experience with verbal & written communications.,2,00011
251,Enterprise Client Experience.,0,00000
252,Financial Business acumen.,0,00000
253,Broad Verizon product experience.,0,00000
254,Leadership skills & capabilities.,0,00000
255,Ability to manage and negotiate with required internal and external organizations.,2,00011
256,Knowledge and experience with Clarity.,2,00011
257,ITIL V3 Certification.,0,00000
258,Project Management Professional (PMP) Certification.,0,00000
259,Experience in customer enablement tools.,0,00000
260,"All applicants must be able to demonstrate the ability to provide inspirational, authentic and personalized customer service",2,00011
261,"Ability to work retail hours including days, nights, weekends and special events in a fast-paced work environment",2,00011
262,Previous experience with retail point-of-sale software,0,00000
263,Applicants must be able to provide proof of right to live and work in the country if invited to attend for interview,2,00011
264,Collaborating with the marketing team to create innovative and engaging marketing campaigns,2,00011
265,"Coordinate the execution of marketing campaigns, events, and outreach promotions",2,00011
266,Assist in the creation and managing of new marketing and advertising campaigns,2,00011
267,Creating and delivering timely materials,2,00011
268,Meet with current and prospective vendors to ensure the excellence of the DTN brand,2,00011
269,Use approved technology and operating software for organization of and access needs for department,2,00011
270,"Storyboard, create, and final video production with agencies",2,00011
271,Logo design as needed,0,00000
272,Schedule and perform photo shoots,2,00011
273,Order and inventory of promotional materials,2,00011
274,Assist department with various projects as needed,2,00011
275,High school education or equivalent,0,00000
276,Preferred 6+ months of marketing/graphic design experience,0,00000
277,Well organized with ability to prioritize and multi-task,2,00011
278,"Experience with or ability to learn social media and reputation management websites including Facebook, Instagram, Twitter, YouTube and Snapchat.",2,00011
279,Motivation to learn and consistently improve,2,00011
280,"People skills required to educate, support and overcome objections",2,00011
281,Reliable transportation to get to work daily and to conduct daily job responsibilities,2,00011
282,Learning product and campaign information to be able to speak to clients in a retail setting,2,00011
283,Working both independently and as part of the team for overall success of the company,2,00011
284,Maintaining Customer Service within a retail setting,0,00000
285,"Assisting customers daily with their purchases, sign ups, and billing issues working in a retail setting",2,00011
286,Educating Customers to Enhance Sales and Profits by Advertising and Marketing Products,2,00011
287,Communicating daily about sales and customer issues within a retail setting,2,00011
288,"Experience in customer service, sales, marketing, advertising, and/or public relations",2,00011
289,"Individuals must be hard working, motivated, and have a great work ethic",2,00011
290,Outstanding communication skills both verbal & written,2,00011
291,Ability to prioritize and work independently with minimal supervision; ability to work effectively in a team environment,2,00011
292,Ability to work effectively under pressure and maintain a positive attitude,2,00011
293,Weekly Base Pay + Bonuses,0,00000
294,Opportunity to travel both international and domestic (optional),2,00011
295,Team outings for consistent networking with the top performers,0,00000
296,Growth within a thriving industry,0,00000
297,One One Mentorship from the management team,0,00000
298,Possess excellent basic math skills and have the ability to operate a POS system.,2,00011
299,Be able to work in a standing position for long periods of time.,2,00010
300,"Be able to reach, bend, stoop, and frequently lift up to 50 pounds.",2,00011
301,Excellent leaders with great people skills,0,00000
302,Internalize and enact Deque values,2,00011
303,Develop/maintain account and industry knowledge,2,00011
304,Build strong relationships and identify customer needs within assigned accounts,2,00011
305,Manage the full sales cycle from opportunity identification through order processing by utilizing a Solutions Selling approach,0,00000
306,Consistently meet or exceed forecast and booking targets,2,00011
307,Build and maintain an opportunity pipeline 3-4x booking targets,2,00011
308,Develop and maintain strategic account plans,2,00011
309,"Utilize Salesforce to manage all aspects of prospecting, opportunity management, forecasting, client communications, contacts, activities and tasks",2,00011
310,100% or greater quota attainment as defined by the compensation plan,0,00000
311,Forecast accurately - +/- 10%,0,00000
312,Education - College degree (BA/BS) - is required. A technical major is preferred,0,00000
313,Experience - minimum of five (5) years customer-facing sales of enterprise software solutions at the C-level,0,00000
314,Performance - proven ability to consistently meet or exceed sales quota. You should have a desire to grow rapidly with over achievement as your goal.,0,00000
315,Approach - experience with solution-selling/consultative selling methodologies (i.e. Shipley),0,00000
316,Explain your interest in joining Deque and how you align with our Core Values,2,00011
317,Depict key attributes that differentiate you as a candidate,0,00000
318,Monitoring inventory stocking levels,0,00000
319,Ordering and replenishing inventory is depleted,2,00011
320,Ensuring proper labeling and quantities on hand are accurate,2,00011
321,Meet key customer contacts to ensure needs are being met and products are available,2,00011
322,Ensures accuracy of all activities related to KeepStock Solutions at multiple customer sites,0,00000
323,"Deliver on defined KPI goals related to market availability, visibility and quality of execution within prestige account channels",2,00011
324,"Initiate and execute customized premium programming at showcase accounts to escalate target consumer consideration, trial and purchase",2,00011
325,"Manage budgets, tactical resources and tools to maximize returns throughout the year",2,00011
326,"Manage daily and weekly performance via internal tracking system, and effectively communicate results to identified stakeholders on a regular cadence",2,00011
327,Deliver on all administrative duties in a thorough and timely matter as defined and requested by upper management,2,00011
328,"Minimum of 5 years of experience in marketing, sales and/or F&B management, preferably with luxury brand or prestige beverage",2,00011
329,"Proficient computer skills including Microsoft Outlook, Word, Excel and PowerPoint",2,00011
330,2-5 years of experience in a B2B sales role or related role,0,00000
331,At least 20% field work with customers in a sales capacity required,0,00000
332,Proven track record of success,0,00000
333,Experience working with government organizations and purchasing processes preferred,2,00011
334,Previous experience selling Software-as-a-Service solutions,0,00000
335,Utilizes consultative solution selling methodologies,0,00000
336,"Ability to deliver on growth, selecting and qualifying opportunities, and achieving sales objectives with customer accounts",2,00011
337,Strong entrepreneurial spirit and a willingness to do what it takes to get the job done,2,00011
338,"Exceptional interpersonal skills, customer-focused, strong communication and organizational skills, goal oriented, and self-motivated team player",2,00111
339,"Ability to learn, use, and understand technology applications",2,00011
340,"State-of-the-art office space in Downtown Dallas including an indoor park, tavern, ACTIVE Tech Shop and more!",2,00011
341,"Competitive compensation + benefits, including health, vision, dental, pet insurance and 401k with matching.",2,00011
342,"ACTIVEx, our award-winning employee participation program, will help you grow personally and professionally.",2,00011
343,"Hookups and discounts for races, events, tickets, activity gear, bike purchase program and more!",2,00011
344,Maintain customer goodwill by greeting and acknowledge all customers he/she comes in contact with,2,00011
345,Sells product and/or services to repair the problem and meet the customers needs,2,00011
346,Assist in keeping parts department clean and orderly,2,00011
347,Provide service technicians with parts as required,0,00000
348,Performs routine housekeeping tasks that maintain and enhances the cleanliness of products and the retail sales area,2,00011
349,"Answer telephones, receive and schedule appointments",2,00011
350,"Obtain customer information, vehicle data, work requested and signature work order",2,00011
351,Open repair orders with clear information and instructions about work to be done,2,00011
352,Handle telephone inquiries regarding progress,2,00001
353,Keeps themselves groomed and clothed per dealership guidelines,2,00011
354,Attend training as prescribed by management to maintain proficiency,0,00000
355,Treats customers fairly and with honesty and demonstrate our commitment to superior customer service and ethical business practices,2,00011
356,Manage end-to-end consumer and operational processes including customer journeys and risk assessments.,2,00011
357,Direct post-campaign analysis to measure performance.,0,00000
358,"Oversee the development of program communications, processes, and training for sales or relationship management staff.",2,00011
359,"Ensure adherence to Legal, Compliance, and Privacy regulations related to marketing.",2,00011
360,Manage a team of marketing program managers.,0,00000
361,"Lead your team with integrity and create an environment where your team members feel included, valued, and supported to do work that energizes them.",2,00011
362,8+ years of marketing experience,0,00000
363,Ability to travel up to 10% of the time,2,00010
364,Fall 2019 internship will be considered for full-time opportunity upon graduation in Dec 2019 or Jan 2020.,0,00000
365,Drive sales by delivering exceptional customer service per the Operations P&P Manual.,0,00000
366,"Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training).",2,00011
367,Train store personnel on standard operating procedures as well as State and Federal laws and regulations.,2,00011
368,Communicate consistently with store personnel to insure understanding and compliance with standard operating procedures.,2,00011
369,"Take appropriate actions to insure each store maximizes sales, minimizes asset loss, and conforms to budgetary requirements.",2,00011
370,"Extensive travel(up to 90%) from store-to-store, within a given geographic area",2,00010
371,Perform work of subordinates as needed.,0,00000
372,"Support and adhere to all company policies, procedures, and guidelines.",2,00011
373,Communicate with employees at all levels of the company.,0,00000
374,Ability and willingness to travel overnight for training and/or business meetings.,2,00011
375,"Ability to work varying days and hours, based on business needs.",2,00011
376,Ability to maintain an excellent attendance record.,0,00000
377,Other duties as assigned.,0,00000
378,"Carry out supervisory responsibilities in accordance with LIDS policies, procedures, and applicable laws.",2,00011
379,"Supervise Store Managers through planning, assigning, and directing their overall functions.",2,00011
380,Appraise subordinates on positive performance and assist with formal performance evaluations.,2,00011
381,"Recruit, select, develop, and train store personnel on proper store operations and procedures.",2,00011
382,Address complaints and problem solve when appropriate with the assistance of the DSM and or RD.,2,00011
383,Proven supervisory skills,0,00000
384,Proven ability to perform independently with minimal supervision,0,00000
385,"Strong interpersonal skills and the ability to communicate verbally in a clear, audible, and grammatically correct manner.",2,00111
386,"Ability to operate a computer, as well as maneuver relative software programs.",0,00000
387,Driving required for up to 100% of the daily work schedule.,0,00000
388,Standing required for up to 90% of the daily work schedule.,2,00010
389,Relative computer hardware and software experience.,2,00011
390,Ability and willingness to travel overnight for training and/or business meetings.,2,00011
391,Communicate Effectively,0,00000
392,Talent leader and Team Builder,2,00011
393,Responsible for an effective and efficient operation of the Escrow Department.,2,00011
394,"Hire, train and develop staff as it relates to escrow procedures, practices and policies.",2,00011
395,Interpret escrow policies and assist in the complicated transactions.,2,00011
396,"Implement efficient process flow for the department, as needed.",0,00000
397,Conduct staff meetings on a regular basis.,0,00000
398,Confer with subordinate personnel to discuss operational problems or explain procedural changes or practices within the Department/Branch offices.,0,00000
399,Prepare work schedules and assign duties to personnel to ensure efficient operations of the Department/Branch offices.,2,00011
400,"In the absence of an Escrow Officer/Processor, be available to assist with the daily functions of the unit.",2,00011
401,Audit escrow files on a monthly basis.,0,00000
402,Work in conjunction with the Title Department in resolving title issues.,0,00000
403,Work with Division President to achieve profitability of the Department.,0,00000
404,Manage digital agency and all paid online advertising,2,00011
405,Traffic all advertising assets and maintain all deadlines,2,00011
406,Secure assets from all manufacturer (including still imagery and video files),2,00011
407,Maintain close working relationship with media vendors,0,00000
408,Evaluate and respond to solicited media opportunities,2,00011
409,Maintain monthly media schedule,0,00000
410,Maintain monthly media expense reports/budget,0,00000
411,Maintain detailed internal and external marketing plans,2,00011
412,Study and adhere to brand guidelines for the THE COLLECTION and its manufacturers Study and adhere to manufacturer Co-Op program guidelines,2,00011
413,"Populate graphics, content and special offers found on all dealership websites",2,00011
414,Work closely with sales and service managers to develop initiatives and collaterals that promote sales growth and customer retention,2,00011
415,Seek out and use industry sources and consumer information to architect cutting-edge marketing techniques and new technologies,2,00011
416,Attend marketing/sales promotion meetings conducted by the manufacturer and dealer associations,2,00011
417,Prepare marketing reports for dealership management,0,00000
418,Video production vendor management including supervising on-site photography and video capture at events,2,00011
419,"Bachelors degree in Communications, Advertising or Marketing",2,00011
420,3 plus years of Advertising/Marketing experience,0,00000
421,"Knowledge of Google Ad Words, prefer Google Ad Words Certification",0,00000
422,"Knowledge of SEO, SEM and other digital platforms",2,00011
423,"Multi-disciplined in digital, print and broadcast mediums and media",2,00011
424,"Strong MS Office skills including Word, Excel, PowerPoint",0,00000
425,Proficient in Mac OS X and Adobe Suite,2,00011
426,Excellent written and verbal communication skills; Spanish a plus,2,00011
427,Relevant product and luxury industry knowledge,2,00011
428,Experience in developing and executing marketing strategies,2,00011
429,Ability to evaluate and suggest new media and technologies,2,00011
430,Fluency in design and video production processes,2,00011
431,Considerable contacts within the industry,0,00000
432,Formal presentation skills,2,00101
433,High attention to detail and accuracy,2,01011
434,Ability to work in a fast-paced environment,0,00000
435,High sense of urgency,0,00000
436,Ability to ensure that tasks are completed accurately and efficiently,2,00011
437,Organizational and planning skills,2,00011
438,Conflict management skills,0,00000
439,Problem analysis and problem-solving skills,2,00011
440,Present and sell company products and services to all levels of management within the dealership,2,00011
441,Prepare action plans and schedules to identify specific targets and to project the number of contacts made,2,00011
442,Follow-up on new leads and referrals resulting from field activity in both independent and franchise dealers,2,00011
443,Identify sales prospects and contact these and other accounts assigned to you,2,00011
444,Prepare presentations and proposals for all levels of management within in dealership,2,00111
445,Assist with the preparation of sales contracts by educating the dealer on what is needed for proper verification by Westlake Financial,2,00011
446,Develop and maintain current client and potential client relationships within the independent franchise dealer communities,2,00011
447,"Develop, maintain and understand sales materials and keep up to date on current financial product knowledge",2,00011
448,"Participate in marketing events such as seminars, trade shows, and telemarketing events for independent and franchise dealers",2,00011
449,Ability to persuade and influence others,2,00011
450,Presentation skills (from initial creation to delivery),2,00101
451,Strong interpersonal and communication skills,2,00111
