,jobrequirements,bias,againstgroup
216,Knowledge and experience working within a solution-selling or consultative selling methodology.,2,00011
217,Experience selling/navigating a complex sale.,0,00000
218,Strong focus on acquiring new business while continuing to cultivate existing account relationships.,0,00000
219,A proven track record of consistent over quota achievement within a software vendor.,0,00000
220,Entrepreneurial drive and work ethic.,2,00011
221,Bachelor's degree or equivalent work experience required.,2,01000
222,Approximately 30% - 50% travel is required.,2,00010
223,Nonprofit industry experience is also a plus,0,00000
224,Lead a team responsible for building processes and establishing governance mechanisms to help to drive expense productivity,2,00011
225,Manage and develop key FP&A processes to analyze financial performance and communicate key drivers of performance to leadership,2,00011
226,"Design, develop & deliver insightful financial reporting, dashboards and analyses",2,00011
227,Develop financial metrics to help identify expense opportunities,0,00000
228,Implement process improvement initiatives such as reporting automation and process standardization,2,00011
229,"Bachelor's Degree in Business, Finance, Accounting, or related analytical field",2,01000
230,People leader with a demonstrated ability to build and develop high performing teams,2,00011
231,Strong financial modeling and Excel skills,2,00011
232,Exceptional analytical skills; highly detail oriented,0,00000
233,"Experience with business intelligence and reporting tools (MicroStrategy, TM1, Hyperion/Essbase, Business Objects, Cognos, Teradata, etc.)",2,00011
234,Demonstrated ability to work independently in a fast-pace environment and manage multiple competing priorities,2,00011
235,"Experience with visualization and business analysis tools (e.g. Tableau, MicroStrategy, Power BI, etc.) desirable",2,00011
236,Oversee the inputting of all leads into the computer system,0,00000
237,Distribute all leads to Agent(s),0,00000
238,"Monitor contact management system, redistribute leads which are not followed up within the required time-frame",2,00011
239,Oversee the operation of the Buyer Profile System,0,00000
240,Attend and set-up Tuesday Morning team meetings,2,00011
241,Review with office staff any problems or issues relating to office procedures and clientele,2,00011
242,"Recruit, hire and train new team members, and provide them with a completed position contract for them to sign",2,00011
243,Maintain records of time-sheets and issue pay-checks,2,00011
244,"Coordinate new projects (review, assign and delegate as necessary)",2,00011
245,Hire/terminate team members where required,0,00000
246,Handle all client complaints,0,00000
247,"Open, review and distribute mail accordingly",2,00011
248,Provide the Lead Agent with daily reading material and highlight significant issues that require prompt attention,2,01011
249,Assist with incoming telephone calls and general office duties,2,00011
250,Determine annual budget with the lead agent,0,00000
251,Review Accounts Payable and approve invoices for payment,2,00011
252,Review Accounts Receivables,0,00000
253,Monitor monthly tax installments,2,00011
254,Approve any miscellaneous office expenditures,0,00000
255,Implement budget controls on expenses,0,00000
256,Meet with Rainmaker regularly to discuss financial and staff issues,2,00011
257,Oversee Public Relations with local business people/companies,0,00000
258,Screen all advertising sales representatives and meet with qualified representatives,2,00011
259,Screen and review charity and sponsorship requests,2,00011
260,One year Real Estate experience (preferred),0,00000
261,Bachelor's degree or higher,2,01000
262,Extremely organized and detailed oriented,2,00011
263,Solid in project management,0,00000
264,Great leadership skills,0,00000
265,Excellent on the phone,2,00001
266,Top 1% Real Estate Team in Chicago 2018,0,00000
267,Top #150 real estate teams in Chicago 2017,0,00000
268,Top 100 most influential realtor 2016 and 2017,2,00011
269,200+ Zillow reviews: https://www.zillow.com/profile/nicholasryanrealestate,0,00000
270,Facilitate process improvement meetings and/or discussions.,2,00011
271,"Recommend process efficiencies, strategies for improvement, and/or solutions to align technology with business strategies.",2,00011
272,Assist in development of desktop procedures and/or training material.,2,00011
273,Other duties as assigned.,0,00000
274,High School Diploma/GED,0,00000
275,1 - 3 years in the Health Insurance Industry,0,00000
276,Analysis of business problems/needs,0,00000
277,Written & Oral Presentation Skills,2,00111
278,Business Process Design,0,00000
279,Business Process Improvement,0,00000
280,Business Process Mapping,0,00000
281,Business Requirements,0,00000
282,Collaborative Problem Solving,0,00000
283,"Minimum of 3 years of experience with a Robotics Process Automation technology such as OpenSpan, Blue Prism, Automation Anywhere.",0,00000
284,Minimum 3 years of experience in all phases of Software Development Life Cycle.,0,00000
285,"Experience with any robotic software, frameworks, and functional design.",2,00011
286,"Ability to convert business logic/req experience with Pega robotic software, frameworks, and functional design.",2,00011
287,Possess one of the following certifications: Pega robotic automation (open span) certification.,0,00000
288,Should be master in Package Configuration.,0,00000
289,"Must have experience in Architecture Knowledge, Testing and Vendor Management.",2,00011
290,"Should be proficient in Business Analysis, Business Knowledge & Technical Solution Design.",0,00000
291,"Complete insurance coverage starting on the first day of employment - medical, dental, vision, life",2,00001
292,401(k) with company match,0,00000
293,Tuition reimbursement,0,00000
294,Respond to all event inquiries and convert inquiries into booked events.,2,00011
295,Consistently meet or exceed individual monthly sales goal.,0,00000
296,Takes direction well and knows what it means to lead and be a solid supporting cast member for our Director of Sales.,2,00011
297,"Assist Director of Sales when it comes to preparing for trade shows, sales missions, and promotional events.",2,00011
298,Seeks out and identify opportunities for proactive account management.,2,00011
299,"Works with clients to plan, coordinate, and ensure that your booked events are world-class experiences.",2,00011
300,Cultivates client relationships both while planning and well after.,2,00011
301,At least 3 years in an Event Sales role,0,00000
302,Excellent verbal and written communication skills,2,00011
303,An ability to own and resolve problems,2,00011
304,"Produce sales gains, by providing customer service.",0,00000
305,To meet or exceed Company Objectives in all individual statistics.,0,00000
306,"Adhere to current visual guidelines includes: proper merchandising, signage and store cleanliness.",2,00011
307,Maintain a professional appearance consistent with Company Dress Code Policy.,0,00000
308,Protect Company assets within guidelines of LIDS Retail policies.,0,00000
309,Assist in preparation of store work schedules that provide proper store coverage and are within the Company guidelines for wage control.,2,00011
310,"Follow all policies to accurately manage store inventory including receiving, transferring, completing price change and conducting product counts.",2,00011
311,Complete accurate product counts in a consistent and timely manner.,2,00011
312,Perform proper documentation and record keeping per LIDS Retail policies as well as state and federal laws.,2,00011
313,Open and close the store as required following the procedures per the Operations P&P Manual.,2,00011
314,"Participate in LIDS Training Programs, adhere to set goals (for sales and tasks) and regular follow up.",2,00011
315,Assist in recruiting and training store personnel on proper store operations and procedures.,2,00011
316,Perform work of subordinates as needed.,0,00000
317,Communicate with employees at all levels of the company.,0,00000
318,Other duties as assigned.,0,00000
319,High school diploma or equivalent plus one year relative experience.,0,00000
320,Established ability to produce sales results while minimizing loss.,0,00000
321,Strong interpersonal skills and the ability to communicate verbally in a clear professional manner.,2,00111
322,"Ability to operate a computer, as well as maneuver relative software programs.",0,00000
323,Ability to lift up to 50 pounds.,2,00010
324,Ability to climb a ladder and work with hands overhead.,2,00011
325,Standing required for up to 100% of the work time.,2,00010
326,Ability to work unsupervised.,0,00000
327,Collaborate with supervisor (Senior Marketing Manager) and marketing team to manage 2-3 specific deadline-driven proposals at any given time,2,00011
328,Assure that the workloads of marketing coordinators are properly balanced,0,00000
329,Identify process issues affecting the completion of assigned tasks,0,00000
330,"Resolve and/or escalate issues related to gaps or errors in content, timeliness, or other potential issues which could compromise the final product",2,00011
331,Oversee 3rd party public relations and communications consultant.,2,00011
332,Supervise operating group social media accounts and coordinate with Corporate Strategic Marketing team.,2,00011
333,Assume ownership of content management,0,00000
334,Manage the change control process,0,00000
335,"Ensure that all proposals use defined documentation methods, processes and tools that meet the highest quality standards",2,00011
336,Act as the principle editor on all proposals,0,00000
337,Develop and implement a structured review process of all proposal efforts,2,00011
338,Establish and closely monitor project timelines to ensure that completed proposals meet scheduling deadlines and stay within budget,2,00011
339,Create and maintain a proposal library for historical reference purposes. Library will include electronic and hard copies of completed proposals,2,00011
340,Organize and maintain past proposal templates in searchable categories to aide in future proposal activity,2,00011
341,Participate/collaborate in overall marketing strategy development and implementation,2,00011
342,Work with business development team to create marketing content for targeted customers and projects well in advance of RFP issuance.,2,00011
343,Perform market research and data analysis to track current market conditions and trends.,2,00011
344,Mapping customer decision-making paths (in partnership with strategic marketing),0,00000
345,Developing customer personas/profiles for key segments,0,00000
346,Partnering with manager to develop cohesive integrated marketing programs/budget to achieve business goals,0,00000
347,"Including: public relations, website, feature articles, social media, videos, advertising and other mediums",2,00011
348,"Measuring results of programs, documenting learning, and driving continuous improvement",2,00011
349,"Identify and coordinate new business development opportunities such as trade shows, speaking opportunities, etc.",2,00011
350,Monitor progress of leads and hand over to business development group at appropriate points in the buying journey,2,00011
351,Misc. projects as assigned,0,00000
352,"Possess excellent verbal skills and be able to interact with clients, marketing team, and senior management",2,00011
353,Demonstrated ability to adhere to deadlines and identify obstacles which would impact timeliness and quality,2,00011
354,Proficiency at scheduling project assignments and monitoring work flow to optimize results is strongly desired,2,00011
355,Team player with a positive attitude,0,00000
356,"Proficiency in Word, Excel, Power Point and InDesign also required",2,00011
357,"Bachelor's degree in Marketing, Journalism, English, or Communications strongly preferred",2,01011
358,Minimum 7 years of proposal development and/or marketing management experience,2,00011
359,Educating customers about our shipping solutions,0,00000
360,Conducting research on customers that have a need for our services,0,00000
361,"Cold-calling, generating new leads and prospecting accounts",2,00011
362,"Qualifying prospects for size, complexity, and overall fit for our company",2,00011
363,Using Salesforce automation tools to track progress and report goals,2,00011
364,Analyzing consumer needs and developing innovative solutions,2,00011
365,"Minimum 3-5 years experience in logistics, sales, or a related field required",0,00000
366,Strong interpersonal skills,2,00100
367,Must be able to negotiate and problem-solve,2,00011
368,Knowledge of current marketing and advertising trends and best practices,2,00011
369,"Proficient in programs including PowerPoint, MS Office and Excel",2,00011
370,Strong oral and written communication skills,2,00011
371,Strong leadership and decision-making skills,2,00011
372,Demonstrable business acumen and a deep understanding of business sales processes,2,00011
373,Schedule: Monday-Friday,0,00000
374,Position Type: Inside Sales,0,00000
375,"Wage/Salary: $60,000 - $80,000",0,00000
376,Paid Holidays/Vacation,0,00000
377,"Company Work Station (Laptop, Cell Phone, Marketing Materials, etc.)",2,00001
378,"Workplace perks such as food, coffee, and flexible work schedules",2,00011
379,Manage the ongoing life cycle responsibilities for business products,0,00000
380,Determine appearance and function of new products.,2,00011
381,Evaluate new functionality that should be applied to existing products.,0,00000
382,Monitor the release process and placement of new products or enhancements in a release.,2,00011
383,"Analyze product management and financial reports, identifying and reporting on trends and issues on a daily/monthly/yearly basis.",2,00011
384,"Track product unit, revenue, cost, and profitability performance, including monitoring of current year production versus budget and prior year.",2,00011
385,"Set, monitor, and maintain customer product rates.",2,00011
386,Participate in the preparation of annual revenue and cost budgets for assigned product(s).,2,00011
387,Monitor customer forecasts and production volumes.,2,00011
388,"Conduct market share and product participation analysis, addressing issues as identified.",2,00011
389,Monitor day-to-day operations of product(s). Respond to and resolve issues.,2,00011
390,BA/BS minimum; MBA or equivalent preferred.,0,00000
391,"Min 5-7 years of experience in a product marketing function, preferably in an electronic information industry or publishing",0,00000
392,In-depth knowledge of product development and evaluation processes,2,00011
393,Experience in P&C Insurance industry is a plus.,0,00000
394,Experience in Acquisition and Retention strategies is a plus.,2,00011
395,Strong oral and written communications skills,2,00011
396,Provide mentoring and leadership skills to others in the organization.,2,00011
397,Broad knowledge of the field with strong leadership skills.,0,00000
398,Demonstrated expertise with problem analysis and solving.,2,00011
399,Demonstrated ability to manage changing and multiple priorities.,2,00011
400,Excellent organizational and documentation skills with attention to detail and accuracy.,2,01011
401,"Ability to achieve and maintain positive rapport with diverse customers to give them high quality, responsive service.",2,00011
402,Ability to work independently while keeping management appropriately informed.,0,00000
403,General understanding of business principles and typical business practices.,2,00011
404,Excellent judgment and discretion,2,00011
405,Outreach - Promoting our brands (English and localized websites) via email,2,00011
406,Keyword Targeting - Using SEO tools and programs to encourage site traffic,2,00011
407,Analysis - Using available resources and data to make your job a success,2,00011
408,Relationship-Building - Establishing contacts domestically and internationally,2,00011
409,Organizing - Properly documenting language-based information and contacts,2,00011
410,Reporting - Clearly communicating projects and goals to your manager and team,2,00011
411,Brainstorming - Bringing creativity to the table as much as possible,0,00000
412,Fluency in Spanish and/or Portuguese,2,00011
413,"Expressed interest in marketing, advertising or sales",0,00000
414,"Passion for digital media, technology and marketing",2,00011
415,Knowledge and experience using social media,2,00011
416,Must have excellent verbal and written communication skills in English as well as Portuguese and/or Spanish,2,00011
417,Must have excellent organizational skills,0,00000
418,"Applies product and procedural knowledge to identify, mitigate and solve customer problems effectively to drive customer loyalty.",2,00011
419,To learn more about this and other opportunities on our team. Watch this video.,2,00011
420,"Creates merchant facing forecasts at the Category, Ops Study and BU level (in dollars) and collaborates with merchandising via S&OP process",2,00011
421,"Reviews the merchandising plans for designated category(s), and meets with category managers to present and agree on forecast numbers.",2,00011
422,"Identifies and resolves out of stock issues, focusing on minimizing shortage occurrences through analysis of data and review of safety stock levels.",2,00011
423,"Office reception: Answering phones, scheduling office visits, and checking patients in and out for their appointments",2,00011
424,Tracking and reporting calls in tracking spreadsheet,2,00011
425,Managing flow of patients in front office and treatment rooms,2,00011
426,Sales of supplements and treatment packages,2,00011
427,Keeping the office tidy and organized,2,00011
428,"Helping maintain supply of supplements, test kits, office supplies, and medical supplies",2,00011
429,Prospectively identifying gaps in patient service or office flow and suggesting improvements,2,00011
430,"Excited to work with kind, compassionate doctors who genuinely care about the staff and their patients.",2,00011
431,Very tech savvy and able navigate through cloud-based apps and troubleshoot basic hardware issues.,2,00011
432,"1 + yrs. of experience in a medical office, preferably private practice",0,00000
433,Excellent communication and interpersonal skills as well as a professional appearance and demeanor,2,00111
434,Experience with medical software and electronic medical records,2,00011
435,Immaculate record-keeping and organizational skills,2,00011
436,Excellent multi-tasking and critical thinking skills,2,00011
437,Understanding of HIPAA and basic coding for insurance reimbursement,2,00011
438,"Comfortable with MS Office suite (Word, Excel), Mac OS, printers/scanners",0,00000
439,"Previous experience with health, fitness, or sales is a big bonus!",0,00000
440,Medical Office: 1 year (Required),0,00000
441,Assist with the rollout of new sales programs/products by reviewing all material for accuracy and providing feedback for improvement.,2,00011
442,Performs other related duties as needed to support corporate objectives.,0,00000
443,"Acts in the best interest of the company by applying stated corporate values and priorities to all communications, decisions, and actions",2,00011
444,Responds to regional and corporate requests for information and follow up to support communication.,2,00011
445,BA/BS or equivalent experience,0,00000
446,Minimum of two years in a sales position,0,00000
447,"Demonstrated relationship building, customer support and client facing sales skills",2,00011
448,Proven sales goal attainment in previous sales position,0,00000
449,Strong analytical and customer service skills a must,2,00011
450,Effectively communicate with all levels of clients and associates,2,00011
451,Intermediate level computer competency,0,00000
452,7+ years experience and proven track record as a Technical Sales Consultant/Sales Engineer,2,00011
453,"Work independently and collaboratively to understand business processes, underlying data, and reporting needs.",2,00011
454,"Create data visualizations, presentations, and reproducible reports that communicate methodology and key findings for internal use.",2,00111
455,Create workflows to manage and integrate internal and external data sources.,2,00011
456,"Develop and monitor reporting of ticket sales, partnerships, and marketing performance.",2,00011
457,Analyze effectiveness of marketing tactics and sales campaigns.,2,00011
458,Assist in the implementation and maintenance of analytics and business intelligence software.,2,00011
