,jobrequirements,bias,againstgroup
245,"Articulate, organized and well-spoken with effective problem solving and mediation skills.",2,00011
246,Proficiency with office computer equipment and software.,2,00011
247,Demonstrated ability to multi - task and work in a fast - paced office setting.,2,00011
248,"Proven ability to cope with conflict, stress and crisis situations.",2,00011
249,"Experience with Marketing, building partnerships, and selling an attraction.",2,00011
250,"Creative, flexible and willing to try new ideas or solutions.",2,00011
251,"Plan, develop and implement a program to successfully hire, train, assign, schedule, coach, counsel and discipline the team members.",2,00011
252,"Plans, develops and approves specific operational policies, programs, procedures and methods in accordance with general policies.",2,00011
253,Attractive base salaries,0,00000
254,Generous paid time off and flexible work hours,2,00011
255,"Competitive health coverage (medical, dental, vision)",2,00001
256,Free snacks and drinks,2,00011
257,Gym membership (to work off the snacks and drinks),2,00011
258,401K matching and safe harbor contributions,2,00011
259,Convenient Loop location close to public transportation,0,00000
260,"You will provide leadership and mentoring to your team, promoting a positive work environment that encourages collaboration and teamwork.",2,00011
261,A Strong Communicator.,0,00000
262,"Your writing and speaking skills are clear and effective, helping you connect well with others.",2,00011
263,You are united with teammates in delivering the best experience to current and prospective residents.,2,00011
264,Organized and Accountable.,2,00011
265,You are an idea person and like coming up with smart solutions to new challenges.,2,00011
266,You keep your cool during stressful situations and quickly find solutions.,2,00111
267,Flexible and Adaptable.,2,00011
268,You understand that the world does not exist through black and white lenses and embrace the opportunity to live in the gray.,2,00011
269,Confident and Decisive.,2,00011
270,"You take initiative, trust your gut, and are not afraid to make a decision or deliver a difficult message.",2,00011
271,You invest extra energy to reach your goals and help your team reach theirs.,2,00011
272,"You follow through on commitments, letting residents know that they matter.",0,00000
273,Build community and industry knowledge,2,00011
274,by identifying trends to prepare for future occupancy needs and offering recommendations and training.,2,00011
275,Connect people to community,0,00000
276,through effective leasing administration and training of your team.,2,00011
277,Show off our community,0,00000
278,by prioritizing curb appeal and maintaining accurate and in-depth knowledge of all aspects of the property and market.,2,00011
279,Manage the leasing process,0,00000
280,by guiding the team through effective sales strategies and follow-through.,2,00011
281,Support maintenance operations,0,00000
282,Partner with your Regional Manager,0,00000
283,"to prepare and follow an operating budget and to plan community capital improvements, repairs, contract developments, and negotiations.",2,00011
284,Orchestrate all accounting functions,0,00000
285,Train and collaborate with talented teammates,2,00011
286,to identify and solve any issues that arise.,2,00011
287,Drive the community to continued operational success,0,00000
288,by proposing income-producing opportunities such as competitive pricing and value-add community enhancements.,2,00011
289,Focus on performance metrics,0,00000
290,Minimum 2 years residential property management experience with working knowledge of tenant and eviction laws,2,00011
291,Experience leading a high-performing team,0,00000
292,"Familiarity and comfort with performance metrics, sales quotas, and financial concepts",2,00011
293,"Demonstrated proficiency in working with computers including word processing, calendar management, software/database, and social media",2,00011
294,"Excellent communication, interpersonal, and organizational skills",2,00111
295,High school diploma or equivalent,0,00000
296,"Available to work a flexible schedule, including weekends",0,00000
297,"College degree or related coursework in business, accounting, hospitality, or property management",0,00000
298,Demonstrated ability to secure leases and to exceed sales goals,2,00011
299,Excellent Time Management Skills,0,00000
300,Independent/ Quick Learner,0,00000
301,Excellent Computer Skills (Excel),0,00000
302,Excellent People and Communication Skills,2,00011
303,Associates or Bachelors degree in Finance or Accounting Preferred,0,00000
304,Or a combined number of years of relevant experience in Finance or Accounting,0,00000
305,"Competency in MS Office (Excel), databases, and accounting software",2,00011
306,accounts payable: 3 years (Required),0,00000
307,accounting: 3 years (Required),0,00000
308,Associate (Required),0,00000
309,Professional development assistance,0,00000
310,Tuition reimbursement,0,00000
311,Between $10M and $100M,2,00011
312,"A job for which all ages, including older job seekers, are encouraged to apply",0,00000
313,Partner with others to identify opportunities and prioritize project activities based on pre-defined criteria.,2,00011
314,Manages activities to resolve problems in a timely and accurate fashion ensuring effective communication to leadership and stakeholders.,2,00011
315,Supports Product Engineering and other Enterprise integrated planning and reporting requests.,2,00011
316,3 - 5 years project management experience in a highly flexible culture,0,00000
317,2 - 3 years of program management experience across multiple teams is required.,0,00000
318,"Industry experience in technology-enabled healthcare, animal health, and pharmaceutical sales is highly desirable.",2,00011
319,"We appreciate Agile certifications, Project Management Professional (PMP) certification, and/or Six Sigma/Lean certifications.",2,00011
320,Pet-friendly office environment with extensive use of computer.,0,00000
321,Business travel of 15-30% of the time may be required.,2,00010
322,Resilient- Able to be flexible and bend with changing circumstances.,2,00011
323,Self-starter - Ability to execute and deliver results with minimal supervision.,2,00011
324,"Technical - Understand how to use technology, social media and other tools relevant to the job.",2,00011
325,Creative - Generate new ideas or innovate around already established approaches.,0,00000
326,Organized - Plan and organize tasks in an efficient productive manner.,2,00011
327,Competitive - Has the desire to win and be the best; naturally self-motivated.,2,00011
328,"Connection- Committed to collaboration, play, healthy relationships.",0,00000
329,"Creativity- Committed to continuous learning, imagination, curiosity.",0,00000
330,"Performance- Committed to excellence, accountability, and responsibility.",2,00011
331,"Leadership- Committed to self-awareness, integrity, and compassion",2,00011
332,Bachelor's Degree preferred,2,01000
333,3+ years of management experience,0,00000
334,"Preferred industry experience in sales, customer service, restaurant or hospitality",0,00000
335,"Experience in sales, marketing, customer service, or hospitality",0,00000
336,Proficient in Microsoft Office applications and technical software,2,00011
337,Support sales efforts as directed by the Regional Vice President and the corporate sales staff.,2,00011
338,"Use assigned franchise revenue management system (i.e. MARSHA, HILTRON, IHOTELIER, MARC) to achieve maximum revenue.",0,00000
339,Be able to produce the annual budget by forecasting changes in operating expenses and labor cost.,2,00011
340,Receive satisfactory scores for internal audits and take action to correct any deficiencies.,2,00011
341,Execute company policies and procedures for purchasing.,2,00011
342,Manage the franchise frequent guest program (guest rewards program) in accordance with franchise / company policies and procedures.,2,00011
343,Manage the preventative maintenance and quick fix programs in accordance with company standards.,2,00011
344,"Must have knowledge of a variety of computer software applications in word processing and spreadsheets. Word, Excel, Power Point and Access.",2,00011
345,Must have effective oral and written communication skills.,2,00011
346,Must have good analytical skills and decision-making ability.,2,00011
347,"Must be able to work independently and multi-task, prioritizing as appropriate.",2,00011
348,Hotel opening experience preferred.,0,00000
349,Must be physically and visually able to utilize the computer.,2,00011
350,Must be able to sit or stand for long periods at a time.,2,00010
351,Must have excellent verbal and written communication ability.,2,00011
352,Flexible in work hours/days. Must be able to travel.,2,00010
353,Must respond to multiple task interruptions in order to provide service to internal and external customers.,2,00011
354,Monitors and analyzes the customer service provided by team members. Offers feedback and coaching.,2,00011
355,"Greets customers and clinic patients, and offers assistance with products and services.",2,00011
356,"Supervises operation of the store and team members, opening/closing/changing shifts, and task delegation to team members.",2,00011
357,"Supervises receiving, stocking, pricing, returning, and transferring of merchandise.",2,00011
358,Ensures that store/grounds are clean and presentable; manages repair and maintenance; responds to emergencies.,2,00011
359,Complies with all company policies and procedures; maintains respectful relationships with coworkers.,2,00011
360,"Completes special assignments and other tasks as assigned, including assisting team members as needed.",2,00011
361,"Receives exposure to analysis of financial and performance data for the store, pharmacy and clinic.",2,00011
362,Reviews and analyzes asset protection data and develops and implements action plans to reduce loss.,2,00011
363,"Supervises team members by assigning tasks, setting expectations, and providing feedback.",2,00011
364,Ensures training of team members; provides coaching and mentoring.,2,00011
365,Issues constructive discipline and makes discipline recommendations.,2,00011
366,"Promotes teamwork and motivates team members by establishing expectations, tracking results, showing enthusiasm and sharing vision.",2,00011
367,"Ensures compliance with all corporate policies, applicable employment laws, and is consistently fair in the treatment of all team members.",2,00011
368,Follows performance improvement plans offered by Store Manager and District Manager.,2,00011
369,Obtains and maintains valid PTCB certification or pharmacy license as required by state.,2,00011
370,Assists Store Manager in planning and attending community events.,2,00011
371,High School Diploma/GED and at least 6 months prior military experience.,2,00011
372,"Must be fluent in reading, writing, and speaking English.",2,00011
373,"Willingness to work flexible schedule including extended days, evenings, and weekend hours.",2,00011
374,Significant Base Salary,0,00000
375,Generous Productivity Bonuses,0,00000
376,UNCAPPED Commissions,0,00000
377,Expense Allowance for your car and cell phone,2,00011
378,Portfolio of Digital clients,0,00000
379,Proven successful approach for prospecting and finding new business,2,00011
380,Proprietary Tools to help you prove why a prospective clients needs increased Digital Marketing,0,00000
381,Hibu provides a dedicated approach and ideal prospects to call upon every day,2,00011
382,Company supplied iPad Pro to share a modern Sales Presentation with prospective clients,2,00101
383,A Salesforce based company,0,00000
384,"World Class Paid Initial Training, and ongoing weekly Nationwide and Regional Training support",2,00011
385,Promotion opportunities for ALL Top Performers,0,00000
386,Ongoing Leadership and Professional Development available at Hibu,2,00011
387,Virtual work environment,0,00000
388,"Medical, Dental, Vision, Prescription, Life Insurance; FSA, EAP, and Disability Benefits",2,00011
389,Employee referral bonuses and tuition assistance,2,00011
390,401(k) retirement plan with matching,0,00000
391,"Generous paid holidays, personal, and vacation days",2,00011
392,Communicate Effectively,0,00000
393,Talent leader and Team Builder,2,00011
394,"Build, maintain and manage account relationships",2,00011
395,Learn and demonstrate the powerful tools on our proprietary software platform,2,00011
396,Present the value of Airspace services to prospective and existing clients,2,00011
397,Collaborate with internal departments to ensure world-class customer success on every shipment,0,00000
398,1-3 year(s) sales experience,0,00000
399,Fluent in Microsoft Office and the Google Suite,2,00011
400,Highly motivated and ambitious with the ability to perform in high energy environments,2,00011
401,Strong problem solving and decision-making abilities,2,00011
402,Excellent written and oral communication skills (Spanish speaking is a bonus),2,00011
403,Team player who can also produce independent results,0,00000
404,Competitive compensation package,0,00000
405,"Medical, dental, vision",2,00001
406,Advancement potential,0,00000
407,Fun and energetic work environment,2,00011
408,Reimbursed gym memberships,0,00000
409,Competitive commission structure,0,00000
410,Bachelor's degree in Business Management or related field preferred,2,01000
411,3-5 years of Management experience; Retail setting preferred,0,00000
412,"A natural talent for motivating, building, developing and leading diverse teams committed to helping others grow and develop in their role",2,00011
413,"Energize the team by encouraging team members to ""stay curious"" and setting and achieving company goals",2,00011
414,"Remain curious, and always look for ways to improve your shop operationally and the customer's experience",2,00111
415,"Excellent time management, organization, and prioritizing skills",2,00011
416,"Comfortable using and learning new technology; tablets, computers, software, etc.",2,00011
417,"Must be able to work flexible days, including evenings, weekends, and some holidays",2,00011
418,Lead a team of 8-15 hourly Team Members,0,00000
419,"Deliver ""5-Star"" customer experience consistently as an individual contributor and through your team",2,00011
420,Ensure all company initiatives are communicated with your team and executed to SmileDirectClub expectations,2,00011
421,Coach your team to exceed customer experience and company sales goals,2,00011
422,"Represent the company brand, mission, and culture",2,00011
423,Preserve visual and merchandising brand standards,2,00011
424,Conduct inventory to ensure adequate products on-hand to exceed customer expectations,0,00000
425,"Will consider organizational/leadership involvement (i.e. Organizations/Clubs, Military, Community Involvement, or Professional/Student Athlete)",0,00000
426,"Providing timely diagnosis/repair and regular preventative maintenance to the Kalmar product lines, utilizing hand, air and electric hand tools;",2,00011
427,"Communicate with the customer to determine equipment problems and, when necessary, travel to customer location to make adjustments/repairs on units.",2,00011
428,"Must be capable of using Microsoft Word, Excel, Access and PowerPoint.",2,00011
429,Maintain follow up with the customer to provide additional information or to resolve problems.,0,00000
430,Program and test Electronic Equipment for Spare Parts or Warranties.,2,00011
431,Install software upgrades in the field.,0,00000
432,All visits will be documented with a call report once a trip has been completed.,2,00011
433,High school diploma required,0,00000
434,"1+ year of experience in mechanical or electrical troubleshooting, and equipment repairs.",2,00011
435,Commercial or Technical background,0,00000
436,Candidates must be able to work at elevated heights,0,00000
437,Experience in commercial and/or large electronic equipment a plus,2,00011
438,Strong aptitude toward control system logic,0,00000
439,"Theoretical and applied knowledge of pneumatic, hydraulic and electrical systems related to mobile equipment preferred",2,00011
440,Good organization skills,0,00000
441,"Demonstrate a strong work ethic, dependability, and initiative.",2,00011
442,Good communication skills,2,00011
443,Fluent in English both spoken and written,2,00011
444,Good problem-solving skills,0,00000
445,"mechanical or electrical troubleshooting, equipment repairs: 1 year (Required)",0,00000
446,High school or equivalent (Required),0,00000
447,Driver's License (Required),0,00000
448,Robust compensation plan for training sold and sessions rendered (large training package are common),2,00011
449,Guaranteed hourly administrative time plus ongoing commissions,0,00000
450,Future career opportunities within multiple Anytime Fitness locations,0,00000
451,"New member acquisition through guerilla and digital marketing, community outreach, and one-on-one sales",2,00011
452,"Oversight of the entire club membership base including operational and financial responsibilities, back-end reporting and management of member needs",2,00011
453,All other duties as assigned,0,00000
454,Several years of experience within either the service or retail sector with a proven track record of leadership,0,00000
455,"Previous experience with fitness club management software (Club O/S, Club Ready, apps like My Fitness Pal all a plus)",0,00000
456,"Excellent communication (verbal and written) skills are a must, along with a top-tier customer service approach to conducting business",2,00011
457,Past sales skills a plus and a desire to build a business to success in an entrepreneurial environment,2,00011
458,Current CPR and AED certifications preferred,2,00011
459,"As a hunter, you will secure new logo business through all means at your disposal, including not being afraid to pick up the phone.",2,00001
460,Establish strong working relationships with key client stakeholders.,0,00000
461,"You will coordinate with marketing and inside sales resources to create strategy, messaging, and materials specific to your assigned marketplace.",2,00011
462,Highly successful sales experience in Enterprise HR/HCM Applications,0,00000
463,Must be comfortable demonstrating software and speaking to all levels,2,00011
464,"Solution sales, exposure to The Challenger Sale strategy/methodology, or similar",0,00000
465,Ability to successfully work from a home office environment and travel at least 30%,2,00011
466,"Last, but by no means least - an outstanding work ethic, high integrity, team player attitude",0,00000
467,DRIVE sales by delivering exceptional customer service per the Operations P&P Manual.,0,00000
468,"Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training).",2,00011
469,Train store personnel on standard operating procedures as well as State and Federal laws and regulations.,2,00011
470,Communicate consistently with store personnel to insure understanding and compliance with standard operating procedures.,2,00011
471,"Take appropriate actions to insure each store maximizes sales, minimizes asset loss, and conforms to budgetary requirements.",2,00011
