jobrequirements,bias,againstgroup
Provide pre and post-sales support to customers offering clear advice and solutions,0,0000
Conduct detailed research of the responsible accounts and arrange meetings.,0,0000
Prepare and deliver customer presentations and demonstrations of products.,2,0101
Marketing and promoting a portfolio of products by attending industry events.,0,0000
"Coordinate writing proposals, reports, and supporting literature.",2,0011
Maintain various sales certifications as required.,0,0000
"Coordinate closely with sales operations, PMO, contracts, engineers, and marketing.",0,0000
Responsible for providing periodic reports on sales activity including priorities and forecast to VP.,0,0000
Generate a positive image of our company in the marketplace and support ongoing thought and sales leadership in partnership with our OEM partners.,0,0000
"Identify and develop new business through networking, account research, cold-calling, and executing marketing plans.",0,0000
"Participate in a success-oriented, ethical, and accountable environment within the company.",0,0000
Be an example for all in terms of ethics and compliance.,0,0000
"Coordinates sale and lease applications form inception to Board approval, lease renewals, voting certificates, etc.",0,0000
Processes and tracks violation notices to comply with association CC&R's. Obtains and summarizes proposals on various projects for community managers.,0,0000
Prepares and assists community managers with monthly board packages.,0,0000
"Dispatches routine work orders, monitor for completion and refer difficult or complex problems or situation to Manager.",2,0001
Assists with other jobs and duties as necessary.,0,0000
"Establish preset appointments, deliver quality Financial Wellness Review conversations, identify needs, make recommendations and follow up.",0,0000
Originate simple to complex consumer lending inside the Store.,0,0000
Recognize a small business with potential and make a quality referrals to the proper team.,0,0000
Cross-sell other bank services and refer customers to other departments as appropriate.,0,0000
"Demonstrate compliance with all bank regulations that apply to your position, and keep up to date on regulation changes.",0,0000
High school diploma or GED required.,0,0000
3-5 years of banking and/or demonstrated sales experience.,0,0000
"Must have access to reliable transportation to facilitate travel outside of the branches, including outside sales calls.",2,0011
lifting up to 10 pounds,2,0010
Frequent local travel.,2,0010
"Respond to customer queries in a timely and accurate way, via phone or email",2,0001
Follow up with customers to ensure their technical issues are resolved,0,0000
Identify customer needs and help customers use specific features,0,0000
Monitor customer complaints on social media and reach out to provide assistance,2,0001
Monitor complaints from end-customers and support our photographers and lab partners in solving these on a day to day basis,2,0001
Analyze and report product malfunctions,0,0000
Update our internal databases with information about new feature requests from customers,0,0000
Share feature requests and effective workarounds with team members,0,0000
"Gather customer feedback and share with our Product, Sales and Marketing teams",0,0000
Identify and implement new customer service processes (e.g.,0,0000
Create FAQ articles and Screencasts for new features to improve our help center,0,0000
You have experience as a Customer Support Specialist or similar CS role,0,0000
You have excellent communication and problem-solving skills,2,0011
You have multi-tasking abilities,0,0000
You can stay patient when handling tough cases,0,0000
You have a general technical understanding and it is easy for you to work with new online tools,0,0000
"You are a great team fit, feel comfortable and can cooperate well",0,0000
Meaningful work in a profitable and growing company with many opportunities for career progression and space to bring your ideas to fruition,0,0000
"A strong team, integrity and the opportunity to build a new company with us in our lovely new office in Manhattan!",0,0000
Competitive salary and benefits package,2,0100
Take what you need vacation policy,0,0000
Yearly trip to our Headquarters in Berlin followed by our yearly retreat (last time to Canary Islands),0,0000
Your own personal onboarding buddy who will help you integrate into our workplace family faster (Across our Company Group),0,0000
$300 Training budget (for training courses and literature),0,0000
Ongoing personal development with your leader,0,0000
"Provide timely, accurate and relevant information on profitability & key metrics using budget, forecast, and prior year as a comparative.",0,0000
Learn and utilize Adaptive Insights (FP&A tool) to create ad hoc financial reports and analyses.,0,0000
A&P (Advertising & Promotion) and NPD (New Product Development); Build models,0,0000
Routinely engaging with business teams to support ad hoc analyses based on current trajectory and needs of the business,0,0000
Business analytics and support of strategic planning,0,0000
Willing to put an effort to learn the business,0,0000
Advanced Excel & PowerPoint skills,0,0000
Proven ability to develop strategic relationships with business partners and influence decisions EEO Corelle Brands. participates in E-Verify,0,0000
Manages and grow existing client base in assigned sales territory,0,0000
Prospects for new business activity in assigned sales territory,0,0000
"Acts on leads provided by Sales Managers, Inside Sales Representatives, Vendors and other team members",0,0000
Develops and maintains a sales funnel that meets or exceeds requirements,0,0000
Works with prospects to develop an understanding of their needs and translate those needs into proposals to satisfy their demands,0,0000
Performs all sales procedures through activities and opportunities entered in ConnectWise and complies with all ConnectWise procedures,0,0000
Registers opportunities in accordance with manufacturer/vendor registration processes,0,0000
Negotiates and closes orders,0,0000
Maintains in-depth technical knowledge of the service and solution offerings of the company,0,0000
Maintains knowledge of manufacturer/vendor promotions,0,0000
"Attends sales meetings, forecast calls and training meetings",2,0011
Understands the processes in ConnectWise by completing assigned training materials and blueprints on the ConnectWise University,0,0000
Understand shifting technology trends and a high capacity for continual learning,0,0000
Technology sales professionals must have excellent communication and presentation skills,2,0111
Math skills as they relate to business deals are necessary as technology sales professionals negotiate deals,0,0000
"Two years direct, business-to-business field sales experience required",0,0000
Previous business-to-business sales of technology products and services preferred,0,0000
"Track record of successful prospecting, development of client relationships, management of sales cycles, negotiation and closing sales",0,0000
"Excellent organizational, presentation, written and verbal communication and client service skills",2,0111
Ability to multi-task and adapt to changes quickly; self-motivated with the ability to work in a fast-moving environment,0,0000
"Technical competence in the use of Microsoft 365ConnectWise, Quosal and other software programs",0,0000
B: B sales: 1 year (Required),0,0000
"Supports the development and maintenance of well-documented departmental performance standards, policies, and procedures.",0,0000
Participates in regular department meetings and coordinates with supervisor to develop and achieve realistic goals and effective strategies.,0,0000
"Demonstrates, tracks, and provides feedback to supervisor on efficiency and accuracy",0,0000
Regularly offers suggestions and participates in process improvement,0,0000
"Supports neat, organized, clean, and safe work area",0,0000
Maintains established safety rules and practices,0,0000
Immediately reports any safety incidents to supervisor,0,0000
Makes sure the proper materials are on hand when performing each process,0,0000
Makes sure tools and equipment are in good working order; reports non-working tools and equipment to supervisor,0,0000
"Demonstrates good judgment in using tools, equipment, etc. when non-standard situation arises.",0,0000
"Makes effective use of work time, and performs required duties in a timely manner",0,0000
Cooperates with others,0,0000
Performs other responsibilities as required.,0,0000
Maintain compliance with all DOT standards and practices,0,0000
Securely and safely load order on truck/van.,0,0000
Drive orders to customer locations and greet customer.,0,0000
"Offload order, check for damage, obtain customer signature on invoice",0,0000
Verify that customer stock is undamaged,0,0000
Remove junk batteries and store properly on truck/van,0,0000
"Communicate promotions to customer, ask if there is any other need, and thank them",0,0000
Evaluate customer sites for additional sales opportunities and communicate to branch manager,0,0000
Develop used battery routes and increase used battery collection,0,0000
Distributes incoming shipments to proper location.,0,0000
"Ensures proper quantities are pulled and accurately recorded. If shortages occur, quantities are reported",0,0000
Operates hand truck/pallet jack in a safe manner.,0,0000
Moves (or coordinates with others to move if a forklift is required) materials to required location,0,0000
Identifies any non-conforming items to supervisor,0,0000
Follows HASCOMM receiving procedures,0,0000
Follows battery reconditioning procedures,0,0000
Checks battery cell voltage,0,0000
Stores batteries per procedure,0,0000
Demonstrates good judgment in supporting Company values when non-standard situation arises.,0,0000
"Adds a valuable, helpful, and positive influence to the customer experience and the work environment: Generates Fans",0,0000
Maintains established WHS rules and practices; immediately reports any incidents to supervisor.,0,0000
Actively participates in assigned learning opportunities and in sharing job knowledge for team advancement.,0,0000
Plans ahead and prioritizes work assignments with supervisor to meet due dates.,0,0000
Maintains a high-energy but safe and thoughtful pace. Exceeds minimum standards of production.,0,0000
"Supports the development and maintenance of well-documented departmental performance standards, policies, and procedures.",0,0000
"Supports a climate for collaborative, job-related open communication among people and between departments.",2,0011
Performs other responsibilities as required.,0,0000
Obtains referrals from customers. Also able to successfully generate leads.,0,0000
Perform battery installations,0,0000
"Loads and offloads vehicles, prepares shipments",0,0000
Maintains accurate documentation of all customer transactions.,0,0000
Coordinates regularly with supervisor to achieve targeted sales objectives.,0,0000
Clean Company uniform is the required attire,0,0000
"Shoes must have non-slip soles, safety toe protection; no open shoes; no high heels.",0,0000
"Neat, clean, tasteful, well-groomed appearance required.",0,0000
"No ripped, torn, soiled, holey, or ill-fitting clothing.",0,0000
"Heavily-scented colognes, perfumes, and deodorants are to be avoided.",0,0000
Jewelry is to be moderate and not present a safety hazard (zero conductive material to be worn when working with batteries).,0,0000
"Advanced knowledge of courteous and safe driving procedures (including forklift), methods, and techniques in multiple vehicle types.",0,0000
Advanced knowledge of DOT/HOS requirements,0,0000
"General knowledge of HAZCOM safety procedures, methods, and techniques",0,0000
"General knowledge of inventory tracking, safe material handling and transport procedures",0,0000
General knowledge of DOT/HOS requirements,0,0000
"General knowledge of battery industry and automotive field concepts, practices, and procedures (language, technology, maintenance, etc.)",0,0000
"General knowledge of all WHS procedures, methods, and techniques associated with the job",0,0000
"General knowledge of material movement tracking software (domestic shipping methods, shipping and receiving procedures)",0,0000
"Basic knowledge of sales and customer service procedures, methods, and techniques",0,0000
"Basic knowledge of marketing procedures, methods, and techniques (advertising, market research, etc.)",0,0000
"Basic knowledge of business policies and practices, document flows, general office procedures, rules, methods, and techniques",0,0000
Basic knowledge of ERP (Enterprise resource planning) applications (Prophet 21 preferred) associated with the job,0,0000
Advanced skill in practicing safe work habits,0,0000
"Advanced skill in operating manual pallet jack, ladders, dolly, and other material handling tools",0,0000
Advanced skill in operating motor vehicles and light industrial trucks: forklifts/powered pallet jacks; maintains excellent driving record,0,0000
General skill in providing regular team member recognition,0,0000
General skill in use of customer resource management (CRM) software,0,0000
General skill level in organization/orderliness and establishing priorities,0,0000
General skill in defusing an agitated or confrontational person; handle grievances with professional etiquette,0,0000
Basic skill in employing persuasion techniques (gaining new referrals; generating new leads and sales),0,0000
"Basic skill level in use of business machines (phone, pc, copy, fax, and scanner)",2,0001
Basic skill level in typing (accurate at 30 wpm),0,0000
Advanced ability to follow defined process steps with high repeatability,0,0000
"General ability to effectively train new hires on mastered job processes, techniques, and procedures",0,0000
"General ability to analyze situations, strategize actions, and solve problems quickly and effectively",0,0000
"General ability to work in a group/team or independently, when needed",0,0000
Basic ability to maintain confidentiality,0,0000
Advanced value for integrity,0,0000
Advanced value for expression of a customer-centric (others-centric) attitude,0,0000
Advanced value for courtesy,0,0000
Advanced value for promptness,0,0000
Advanced value for attentiveness,0,0000
Advanced value for expression of a positive attitude,0,0000
Advanced value for continuous improvement,0,0000
Advanced value for team advancement,0,0000
"Advanced value for wellness, health and safety (of self and others)",0,0000
"Advanced value for highly accurate, consistently on-time work",0,0000
Branch Manager and Staff,0,0000
High school diploma or GED required,0,0000
"Strong computer skills, including Microsoft Office and Adobe Suites",0,0000
Outstanding phone skills,2,0001
"Strong verbal and written communication skills, including spelling and math",2,0011
"Prompt, reliable, and responsible",0,0000
Able to lift 40+ pounds,2,0010
Willing and able to work 25 to 30 hours per week for a 6-day work week,0,0000
Previous UPS Store experience,0,0000
Excellent Advancement Opportunities,0,0000
Casual and creative work environment,0,0000
Formal On-the-Job Training Program,0,0000
Verifies and keeps records on incoming and outgoing shipments.,0,0000
Process all incoming inventory and corresponds with shipper to rectify damages and shortages.,0,0000
Maintain inventory of shipping materials and supplies & maintain inventory control.,0,0000
Maintain work area and equipment to adhere to all safety standards.,0,0000
Fill customer orders according to standard operating procedures.,0,0000
Strong organizational and communication skills,2,0011
Computer skills and knowledge of tracking software,0,0000
Successfully complete internal training and coaching requirements within designated time period,0,0000
Achieves required levels of outbound phone calls associated using generated customer and prospect lead lists and prior customer conversations,2,0011
Ownership and resolution of customer issues,0,0000
Refers customers to an internal team of experts when additional financial goals and needs are recognized,0,0000
Ensures safe and sound banking practices including adherence to all applicable laws and regulations,0,0000
High school diploma or GED,0,0000
Completion and mastery of all internal training requirements within five (5) quarters,0,0000
Demonstrated performance of individual goals for at least three (3) consecutive quarters post-training,0,0000
Previous supervisory experience within a bank environment,0,0000
Three plus (3+) years previous banking and/or lending experience,0,0000
Three plus (3+) years experience handling cash in a bank environment,0,0000
Three plus (3+) years prior relationship based client consultation,0,0000
Ability to assist customers with digital banking offerings,0,0000
Strong communication and customer focus,2,0011
Ability to handle multiple priorities simultaneously,0,0000
"(web, mobile, social, physical)",2,0010
"eCommerce strategy, implementation and operations",0,0000
Marketing Content and digital asset management solutions,0,0000
Marketing analytics implementation and operations,0,0000
"Advertising campaign ideation, development and execution",0,0000
"Acquisition and engagement campaign ideation, development and execution",0,0000
"Agile based, design-thinking, user-centric, empirical projects that accelerate",0,0000
Works under the supervision of the Box Office Manager & Assistant Manager.,0,0000
Provides detailed information to patrons regarding performances and ticket policies.,0,0000
Utilizes Ticketmaster software programs to process ticket sales.,0,0000
Distributes will call tickets accurately.,2,0011
Operates a computer in order to effectively and efficiently complete ticket sales and record all transactions.,0,0000
Performs other duties as assigned.,0,0000
"High School Diploma, GED or equivalent.",0,0000
Customer service experience desired.,0,0000
Must possess some knowledge of computer applications and be prepared to become skilled at Ticketmaster software programs.,0,0000
At least 1-year cash handling experience.,0,0000
Dependable with a positive and professional work history.,0,0000
Must be accountable and maintain accuracy in financial transactions at work station.,0,0000
Ability to work under pressure while providing detailed and accurate information and a high level of quality customer service.,0,0000
"Ability to apply concepts of basic math on an excel spreadsheet, calculator or adding machine and make correct change.",0,0000
"Ability to work nights, weekends and holidays",0,0000
Ability to handle multiple tasks simultaneously in fast-paced environment.,2,0100
Drive sales by delivering exceptional customer service per the Operations P&P Manual.,0,0000
"Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training).",0,0000
Train store personnel on standard operating procedures as well as State and Federal laws and regulations.,0,0000
Communicate consistently with store personnel to insure understanding and compliance with standard operating procedures.,0,0000
"Take appropriate actions to insure each store maximizes sales, minimizes asset loss, and conforms to budgetary requirements.",0,0000
"Extensive travel(up to 90%) from store-to-store, within a given geographic area",2,0010
Perform work of subordinates as needed.,0,0000
"Support and adhere to all company policies, procedures, and guidelines.",0,0000
Communicate with employees at all levels of the company.,0,0000
Ability and willingness to travel overnight for training and/or business meetings.,2,0010
"Ability to work varying days and hours, based on business needs.",0,0000
Ability to maintain an excellent attendance record.,0,0000
Other duties as assigned.,0,0000
"Carry out supervisory responsibilities in accordance with LIDS policies, procedures, and applicable laws.",0,0000
"Supervise Store Managers through planning, assigning, and directing their overall functions.",0,0000
Appraise subordinates on positive performance and assist with formal performance evaluations.,0,0000
"Recruit, select, develop, and train store personnel on proper store operations and procedures.",0,0000
Address complaints and problem solve when appropriate with the assistance of the DSM and or RD.,0,0000
Proven supervisory skills,0,0000
Proven ability to perform independently with minimal supervision,0,0000
"Strong interpersonal skills and the ability to communicate verbally in a clear, audible, and grammatically correct manner.",2,0100
"Ability to operate a computer, as well as maneuver relative software programs.",0,0000
Driving required for up to 100% of the daily work schedule.,0,0000
Standing required for up to 90% of the daily work schedule.,2,0010
Relative computer hardware and software experience.,0,0000
Ability and willingness to travel overnight for training and/or business meetings.,2,0010
"Support overall account strategy to achieve annual operating plan goals for revenue, growth, margin expansion, and account retention.",0,0000
"Develop and maintain positive and professional working relationships with clients, service vendors and Thermo Fisher staff.",0,0000
Responsible for customer satisfaction and loyalty.,0,0000
Conduct site operations in accordance with terms and conditions of program contract and Statement of Work.,0,0000
Support the development of quarterly business reviews and participate in meetings as required.,0,0000
"Assist in data collection and analysis of customer metrics to include but not limited to financials, compliance, growth, and profitability.",0,0000
Support action plans and tracking mechanisms to drive continuous improvement.,0,0000
"Responsible for accurate data input to Resource Center database to include service requests, work orders and purchase order information.",0,0000
Support problem resolution and escalation at account as needed.,0,0000
"Monitor all service activities and escalations to include, timeliness, accuracy, and quality of the event.",2,0001
Monitor and maintain up-to-date service and financial documents for service contracts. Ensure vendor compliance.,2,0001
"Assist with the resolution of service or billing issues, questions or credits.",0,0000
"Obtain and review field service reports and invoices for financial accuracy, technical remediation procedures, and completeness.",0,0000
Adhere to all Thermo Fisher and customer security and safety procedures.,0,0000
Support opportunities to identify and leverage other Thermo Fisher products and services.,0,0000
Participate in PPI project teams as assigned to improve business performance.,0,0000
Other appropriate duties as assigned by Thermo Fisher management.,0,0000
Travel to multiple client locations as applicable to support account needs (< 5%).,2,0010
Adhere to defined budget.,0,0000
Support negotiations regarding daily service activities.,0,0000
"Responsible for supporting site initiatives to enhance client satisfaction, account profitability and retention.",0,0000
Manage site inventory.,0,0000
Develop positive working relationship with vendors.,0,0000
Associates degree or equivalent.,0,0000
"Industry experience in one or more of the following areas: Life Sciences, Healthcare or related field.",0,0000
Previous customer service experience.,0,0000
Experienced in achieving customer loyalty.,0,0000
Ability to work independently and proactively resolve customer issues.,0,0000
"Ability to build strong, professional client relationships.",0,0000
Ability and willingness to work within a team.,0,0000
Ability to make sound business decisions and drive efficiencies.,0,0000
Effective communication skills (both verbal and written).,2,0011
Excellent time management and ability to prioritize work based on business and client needs.,0,0000
"Ability to make commitments, track and communicate progress, and follow through until completion.",0,0000
Business acumen skills (demonstrates broad business knowledge).,0,0000
Ability to make sound economic decisions.,0,0000
Self-starter with strong bias for action; able to drive results.,0,0000
Ability to work in a process documented environment.,0,0000
Analytical review and reporting capabilities.,0,0000
Proficient PC skills and ability to effectively use Windows based software.,0,0000
Level of Physical Requirements: Light to medium work.,2,0010
"Level of Visual Acuity: Clerical, professional, administrative.",2,0010
"Environmental Conditions: Inside environmental conditions (office, labs, hospitals, facilities) which consist of noise, and hazards.",0,0000
Required to travel by airplane and automobile for meetings and training as necessary.,2,0010
Drive sales by delivering exceptional customer service per the Operations P&P Manual.,0,0000
"Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training).",0,0000
Train store personnel on standard operating procedures as well as State and Federal laws and regulations.,0,0000
Communicate consistently with store personnel to insure understanding and compliance with standard operating procedures.,0,0000
"Take appropriate actions to insure each store maximizes sales, minimizes asset loss, and conforms to budgetary requirements.",0,0000
"Extensive travel(up to 90%) from store-to-store, within a given geographic area",2,0010
Perform work of subordinates as needed.,0,0000
"Support and adhere to all company policies, procedures, and guidelines.",0,0000
Communicate with employees at all levels of the company.,0,0000
Ability and willingness to travel overnight for training and/or business meetings.,2,0010
"Ability to work varying days and hours, based on business needs.",0,0000
Ability to maintain an excellent attendance record.,0,0000
Other duties as assigned.,0,0000
"Carry out supervisory responsibilities in accordance with LIDS policies, procedures, and applicable laws.",0,0000
"Supervise Store Managers through planning, assigning, and directing their overall functions.",0,0000
Appraise subordinates on positive performance and assist with formal performance evaluations.,0,0000
"Recruit, select, develop, and train store personnel on proper store operations and procedures.",0,0000
Address complaints and problem solve when appropriate with the assistance of the DSM and or RD.,0,0000
Proven supervisory skills,0,0000
Proven ability to perform independently with minimal supervision,0,0000
"Strong interpersonal skills and the ability to communicate verbally in a clear, audible, and grammatically correct manner.",2,0100
"Ability to operate a computer, as well as maneuver relative software programs.",0,0000
Driving required for up to 100% of the daily work schedule.,0,0000
Standing required for up to 90% of the daily work schedule.,2,0010
Relative computer hardware and software experience.,0,0000
Ability and willingness to travel overnight for training and/or business meetings.,2,0010
Monitors and analyzes the customer service provided by team members. Offers feedback and coaching.,2,0001
"Greets customers and clinic patients, and offers assistance with products and services.",0,0000
"Supervises operation of the store and team members, opening/closing/changing shifts, and task delegation to team members.",0,0000
"Supervises receiving, stocking, pricing, returning, and transferring of merchandise.",0,0000
Ensures that store/grounds are clean and presentable; manages repair and maintenance; responds to emergencies.,0,0000
Complies with all company policies and procedures; maintains respectful relationships with coworkers.,0,0000
"Completes special assignments and other tasks as assigned, including assisting team members as needed.",0,0000
"Receives exposure to analysis of financial and performance data for the store, pharmacy and clinic.",0,0000
Reviews and analyzes asset protection data and develops and implements action plans to reduce loss.,0,0000
"Supervises team members by assigning tasks, setting expectations, and providing feedback.",0,0000
Ensures training of team members; provides coaching and mentoring.,0,0000
Issues constructive discipline and makes discipline recommendations.,0,0000
"Promotes teamwork and motivates team members by establishing expectations, tracking results, showing enthusiasm and sharing vision.",2,0001
"Ensures compliance with all corporate policies, applicable employment laws, and is consistently fair in the treatment of all team members.",0,0000
Follows performance improvement plans offered by Store Manager and District Manager.,0,0000
Obtains and maintains valid PTCB certification or pharmacy license as required by state.,0,0000
Assists Store Manager in planning and attending community events.,0,0000
Lead the development of the annual Marketing Plan,0,0000
Be accountable for meeting the marketing and sales objectives in the Marketing Plan,0,0000
Coordinate and lead major new business presentations and provide senior-level presence to clients,2,0101
"Help Develop and oversee maintenance of sales materials such as the Web site, DVDs, brochures and presentation templates",2,0101
Plan and organize to target and prospect opportunities,0,0000
Identify and help grow strategic business partnerships,0,0000
Help define product strategy and positioning,0,0000
Must have current client relationships with active accounts,0,0000
A successful track record of new business development with major accounts and agencies,0,0000
A thorough understanding of traditional and Internet/new media advertising and marketing concepts,0,0000
"Excellent writing, communication and public speaking skills",2,0011
5 plus years of work experience,0,0000
Worked under client and influential deadlines in a fast-paced environment,2,0100
Written and developed press materials,2,0011
A Passion for technology,0,0000
Proficiency using computer and general business applications,0,0000
"Creates connectivity to and alignment with the AmerisourceBergen enterprise including brand, messaging and channel strategy",0,0000
Creates and manages a monthly reporting dashboard for communications activities,2,0011
"Keeps abreast of associate enablement and communications best practice, trends and technologies",2,0011
Builds rapport with internal stakeholders and becomes a trusted advisor within the business units and at the enterprise level,0,0000
Performs related duties as assigned,0,0000
"Healthcare for associates and eligible dependents, same-sex and domestic partners",0,0000
"Paid time off, including vacations and holidays",0,0000
Paid volunteer time off,0,0000
Life insurance and disability protection,0,0000
Employee Stock Purchase Program,0,0000
Minimum of 10 years of experience in marketing.,0,0000
Experience working in or with advertising agencies or in-house creative teams,0,0000
Previous management and leadership experience required,0,0000
Advanced degree preferred,0,0000
Excellent written and verbal communication skills,2,0011
"General knowledge of technical, financial, and banking industry and competitive market environment",2,0100
Experience marketing digital solutions a plus,0,0000
HubSpot and Salesforce experience preferred,0,0000
Proficiency with WebEx,0,0000
Budget management experience preferred,0,0000
"General knowledge of Microsoft Office (Word, Excel, PowerPoint)",0,0000
Executes marketing plan for assigned clients to ensure success in delivering profitable sales revenue.,0,0000
Maintains a high standard of professionalism from dress to presentations to market HydrochemPSC brand,2,0101
Sources new potential customers,0,0000
Collaborates with existing clients and operations team to generate scope growth opportunities.,0,0000
Closes sales on a direct basis and in accordance with appropriate procedures.,0,0000
Analyzes sales trends and market conditions to increase sales.,0,0000
Reviews market analyses to determine customer needs and volume potential; implement sales strategies to achieve goals.,0,0000
Analyzes sales statistics to promote sales.,0,0000
Delivers sales presentations to clients in coordination with sales and operations representatives.,2,0101
Develops relationships with existing and prospective clients.,0,0000
Provide timely estimates and complex bid responses with a high degree of quality and accuracy.,0,0000
Effectively uses and routinely updates computer-based client management software.,0,0000
"Four year degree in business, business Administration, Finance or similar field",0,0000
1-4 years of successful industry selling experience,0,0000
Developed working knowledge of sales and service processes and techniques in the industrial cleaning and engineered services market.,0,0000
Developed verbal and written communication and presentation skills,2,0111
Developed effective leadership abilities,0,0000
Record of sales success,0,0000
Use effective time-management skills and maintain a forward looking schedule (one week minimum).,0,0000
Developed effective interpersonal skills with the ability to maintain productive relationships with internal and external groups,2,0100
Ability to utilize software to present data and reports in an effective format,0,0000
Organized self-starter with the ability to operate under minimal supervision and guidance,0,0000
"Strong computer skills; proficient in Microsoft Office (Word, Excel, PowerPoint, and Outlook.)",0,0000
Approximately 80% travel,2,0010
Work in both an office and industrial environment to perform sales duties.,0,0000
Maintain a vehicle that is dependable that provides safe transportation for local and out of town travel.,2,0010
"Maintain and manage personally paid expenses to cover all travel and meals, and customer entertainment expense until reimbursed by the company.",2,0010
Sales: 5 years (Preferred),0,0000
business development: 1 year (Required),0,0000
Bachelor's (Required),0,0000
Detail-oriented -- quality and precision-focused,0,0000
Innovative -- innovative and risk-taking,0,0000
Aggressive -- competitive and growth-oriented,2,0100
Outcome-oriented -- results-focused with strong performance culture,0,0000
