,jobrequirements,bias,againstgroup
104,Negotiate contracts and licensing.,2,00011
105,At least 5 years selling tech services and/or products in the commercial real estate industry.,2,00011
106,Understanding of the digital / tech landscape.,0,00000
107,Track record of performance. Must be able to verify through references.,0,00000
108,Have existing relationships in the commercial real estate industry.,0,00000
109,Experience interfacing with C-Level decision makers.,0,00000
110,Excellent written and verbal communication skills essential for conducting business in the tech space.,2,00011
111,Introduce yourself. Tell us why this role speaks to you and what you uniquely bring to the table,2,00011
112,Please include your resume and LinkedIn profile,2,00011
113,Include 3 references (bosses and former managers preferred),2,00011
114,What brands are excelling in digital marketing right now? Why?,0,00000
115,What brands are you loyal to? Why?,0,00000
116,Include your available start date,0,00000
117,Maintain comprehensive understanding of healthcare industry segments served,0,00000
118,"Keep abreast of developments in the market from multiple perspectives: provider, payer, clearinghouse, RCM service provider",0,00000
119,"Evaluate potential client's strategy, position in the healthcare ecosystem, current and future concerns given shifts in healthcare",2,00011
120,Develop understanding of potential clients operational frustrations with RCM,0,00000
121,Match Madaket's solutions and proposed value drivers to client concerns,2,00011
122,"Demo and sell Madaket's EDI Enrollment, Payer Enrollment (Credentialing) solution suite",2,00011
123,Develop relationships with targeted prospect list into customers; generate new leads,0,00000
124,Maintain sales pipeline and sales forecasts,2,00011
125,Manage (matrix) sales support team through the process of customer acquisition and onboarding,2,00011
126,Ability to navigate business processes and legal requirements to negotiate contracts,2,00011
127,Consistent success exceeding quarterly and annual sales targets.,2,00011
128,"Passionate about being a sophisticated, polished, sales professional. Student of your craft.",0,00000
129,"Consultative approach, self-starter, develop custom sales materials to match potential clients",0,00000
130,Demonstrate ability to shorten the sales cycle by knowing how to close,0,00000
131,Proficient with sales cycle and SFDC tools,2,00011
132,Ability to travel as needed,2,00010
133,Excellent verbal and written communications skills,2,00011
134,Comfortable in the C-Suite and on the front-line,2,00011
135,BA/BS degree or equivalent,0,00000
136,"Start-up, early-stage, high-growth healthcare IT experience strongly preferred",0,00000
137,Proven 5+ years of exceeding quota,0,00000
138,"Rapidly growing startup, be a member of an awesome team solving real problems in healthcare administration",0,00000
139,"Generous holiday/vacation schedule, a ridiculous selection of snacks, and other perks",2,00011
140,Super convenient Harvard Square location in our brand new office we moved into in February 2019,0,00000
141,competitive salary + stock options,0,00000
142,"Comprehensive benefits including health, dental, 401k, transit/parking, FSA, dependent care, and more",2,00011
143,Answer inbound emails and phone calls from internal and external customers,2,00011
144,Work closely with outside sales representatives and distributors to acquire new opportunities,2,00011
145,Good understanding of computer technology,0,00000
146,Results-oriented team player,0,00000
147,"Strong communication, presentation and problem-solving skills",2,00111
148,Some experience selling ICT solutions,0,00000
149,Enterprise and Commercial opportunities,2,00011
150,6 month sales achievement cycle 2X's a year ~TRIPLE Accelerators *NO CAP*,0,00000
151,Dell Technology's complement of tools & solutions. Cross Selling with Dell,0,00000
152,Sellers to Success ratio high across the business,0,00000
153,Accessibility to Leadership - How do WE hit your number philosophy!,0,00000
154,Life at Dell means collaborating with dedicated professionals with passion for technology.,0,00000
155,"When we see something that could be improved, we get to work inventing the solution.",0,00000
156,Our people demonstrate our winning culture through positive and meaningful relationships.,2,00011
157,We invest in our people and offer a series of programs that enables them to pursue a career that fulfills their potential.,2,00011
158,Our team members health and wellness is our priority as well as rewarding them for their hard work.,2,00011
159,Manages all day to day aspects of projects,0,00000
160,"Review and approve subcontractor, vendor payment applications and miscellaneous invoices (as applicable).",2,00011
161,"Oversees project construction for compliance with drawings, specifications, local codes and construction techniques.",2,00011
162,Bring all field issues to the attention of the Superintendent or General Superintendent (as applicable).,2,01000
163,Ensures project document controls are in compliance with contract requirements and standards.,2,00011
164,Develops positive working relationships with other trades and vendors.,2,00011
165,Manages multiple projects at differing stages of work.,0,00000
166,holding 15-20 minute phone conversations with inquiring clients determining whether these potential clients are the right fit for our practice,2,00001
167,following up with potential clients that may not be ready to schedule at first contact,0,00000
168,confidently overcoming objections,0,00000
169,keeping clear and up-to-date records that allow us to analyze our marketing systems as well as your success in the role,2,00011
170,scheduling new and current clients,2,00011
171,Be part of a dynamic team that love to learn and have fun,2,00011
172,Work in a supportive environment where personal development is always a top priority,0,00000
173,Starting salary year one 45-70k (including bonuses) + PTO + Medical + Dental,0,00000
174,relevant: 1 year (Preferred),0,00000
175,sales: 1 year (Preferred),0,00000
176,"Manage multiple accounts, ensuring that a high level of customer retention and satisfaction is maintained",2,00011
177,Implement strategies for retaining customers requesting to terminate or downgrade their account,0,00000
178,"Record changes to customer accounts, updating service packages, adding accounts, and removing accounts as needed",2,00011
179,Other duties as requested,0,00000
180,"Engage with multiple customers on a daily basis by reaching out to new clients, and by developing campaigns for maintaining customer loyalty",2,00011
181,Contract or price negotiation,0,00000
182,Data and workflow analysis,2,00011
183,Mailing list management,0,00000
184,Basic computer software,0,00000
185,Extract data from CRM or PLM into BW. Consultants would be involved in different tasks throughout the project lifecycle.,0,00000
186,Understanding and documenting the functional and technical requirements,2,00011
187,Designing the target solution,0,00000
188,Implementation of SAP Business Intelligence analytics solutions,0,00000
189,Maintain and correct applications to keep them performing in accordance with technical and functional specifications,2,00011
190,"Work within a multi-language, multicultural, multi-discipline environment",0,00000
191,"Planning and organizational skills, including ability to engage with multiple development projects concurrently and working to tight deadlines",2,00011
192,Experience with process improvement for operational support systems,0,00000
193,Experience communicating technical and business issues/solutions to all levels of management,2,00011
194,MUST have worked on extracting data from CRM OR PLM into BW,0,00000
195,Agile and ABAP skills are a plus,2,00011
196,Responsible for independently completing training modules and quizzes according to the training plan.,2,00011
197,Learn how too effectively performance manages and maintains a culture of accountability.,2,00011
198,Makes determination of markdowns and write-offs.,2,00011
199,Analyzes store markdowns and write-offs to ensure they are not inordinate.,2,00011
200,Summarizes data into management reports.,0,00000
201,Ensures that the Daily Sales Report is completed each day.,0,00000
202,Ensures orders are placed in a timely manner.,0,00000
203,Responsible for meeting annual shrink budget.,0,00000
204,Provides support and leadership to assigned training store. Learn to prepare and implement detailed plans for each department.,2,00011
205,"Learn the importance of meeting the needs for employee schedules, budgets, floor plans, and campus events such as Rush, Buy Back, Inventory.",2,00011
206,May occasionally host campus contact or other decision makers.,0,00000
207,Actively seeks job placement after approval from Training Manager. Must relocate as required.,0,00000
208,Performs other duties as assigned.,0,00000
209,"Excellent communication, interpersonal and organizational skills.",2,00111
210,Energetic and self-motivated.,2,00011
211,Ability to be on the phone for long periods of time.,2,00001
212,Strong customer service skills,0,00000
213,"Solid work ethic, high activity level",0,00000
214,"A minimum of 1 year of inside sales, retail sales or customer service experience with a proven track record of success.",0,00000
215,Ability to successfully build relationships and work deals over the phone.,2,00011
216,Bilingual English/Spanish is highly preferred.,0,00000
217,Strong desire to achieve and succeed in a highly competitive market.,2,00011
218,Flexible work schedule including the ability to work until 7pm or Saturdays as needed.,0,00000
219,Must be able to pass criminal background check .,0,00000
220,This position requires the ability to be on the phone for long periods of time daily.,2,00001
221,"Ability to use a computer, tablet; related software and telephone.",2,00011
222,Ability to communicate verbally.,0,00000
223,relevant: 1 year (Preferred),0,00000
224,Detail-oriented -- quality and precision-focused,2,00011
225,Aggressive -- competitive and growth-oriented,2,00111
226,Outcome-oriented -- results-focused with strong performance culture,0,00000
227,Team-oriented -- cooperative and collaborative,2,00011
228,www.UnitedAutoCredit.net,0,00000
229,Train end users on how to effectively use financial systems features and applications,2,00011
230,Develop customized saved searches for shared business user usage and to support integration needs,2,00011
231,Build customized reporting in use for data integrity and validation,2,00011
232,Closely work with the Audit Teams ensuring Netsuite Processes and Reports are in compliance with SOX 404B,2,00011
233,Take a hands-on approach to troubleshooting and coordinate with Netsuite Support for a quick resolution of Issues,2,00011
234,Applies critical thinking and problem solving skills on a daily basis,2,00011
235,Provide transparency to stakeholders and senior management team; manage expectations and communicate effectively with Finance Organization,2,00011
236,Ability to succeed in fast paced environments at a high-growth company; comfortable with tight timelines; possessing a sense of urgency.,0,00000
237,Be a critical thinker with excellent verbal and written communication skills,2,00011
238,3+ years of functional experience with NetSuite Core Financials and Advanced Revenue Management(ARM) Module,2,00011
239,6-9 years of Functional Experience working with various ERP solutions such as Oracle/SAP/GreatPlains etc,0,00000
240,Knowledgeable in relational database architecture and methods including hands-on experience in developing advanced NetSuite Saved Searches,2,00011
241,"Bachelors degree in Accounting, Computer Science, Information Systems or related field required",0,00000
242,"Strong verbal and written communication skills, with an ability to express complex technical concepts in business terms",2,00011
243,"Strong conceptual, analytical and problem solving skills",2,00011
244,"Ability to work under pressure, meet deadlines, and work on multiple projects simultaneously",2,00011
245,Must have a minimum of 6 years of experience in leading and mentoring teams,2,00011
246,Knowledgeable with the SOX Compliance & Auditing Requirements,0,00000
247,ERP implementation experience,0,00000
248,Netsuite Certifications,0,00000
249,"Concur,Fastpath tools experience",0,00000
250,"Manage individuals and matrixed teams focused on process engineering initiatives, including developing business processes models",2,00011
251,Provides clear and concise direction and coaching of direct reports and matrixed staff,2,00011
252,"Responsible for the successful execution of the process definition, measurement and improvement framework and methodology",2,00011
253,"Drive business awareness of our common enterprise Operational and Process Excellence methods, techniques, tools, etc.",2,00011
254,Provides consultation on the use of process definition measurement and improvement techniques and tools to increase efficiency and effectiveness,2,00011
255,"Provide coaching and mentoring to sprint teams and LOB leadership in process definition standards, processes, tools and techniques",2,00011
256,Develop and maintain the process engineering team into a pool of highly skilled expert resources for the businesses to utilize,2,00011
257,"Provide thought leadership in the areas of process definition, process management and process improvement",2,00011
258,Responsible for ensuring Enterprise process modeling standards and quality assurance processes are followed,2,00011
259,"Lead your team with integrity and create an environment where your team members feel included, valued, and supported to do work that energizes them.",2,00011
260,"BS/BA degree or higher in a quantitative field such as mathematics, statistics, actuarial science, engineering, or physics",0,00000
261,Knowledge and understanding of Business Process Management Notation (BPMN) software such as iGrafx,2,00011
262,Knowledge and understanding of Statistical Analysis software such as Minitab,2,00011
263,Facilitation skills such as Helix,0,00000
264,Change Management skills such as Prosci/ADKAR,0,00000
265,Knowledge and understanding of Rapid Process Automation software such as Blue Prism,2,00011
266,Financial services industry experience,0,00000
267,Highly refined and professional verbal and written communications,2,00011
268,Ability to manage complex projects in a large enterprise environment,0,00000
269,Strong analytical skills with high attention to detail and accuracy,2,01011
270,Strong collaboration and partnering skills,2,00011
271,"Experience managing BPM Suites such as iGrafx, ARIS, Mega, IBM Blueworks, or Pega",0,00000
272,"Ability to take on a high level of responsibility, initiative, and accountability",2,00011
273,"Experience consulting, influencing and partnering with business executives, leadership, human resources partners and peers",2,00011
274,WF Enterprise Process Engineering Advanced learning level or LEAN/Six Sigma Black belt must be documented as completed within 1 year of job start date,0,00000
275,Ability to travel up to 25% of the time,2,00010
276,Serve as the point of contact and client interface for project technology related issues,2,00011
277,"Develop trust, credibility, and strong client relationships; seek opportunities to add value to internal and external client initiatives",2,00011
278,"Review all project deliverables to ensure quality and accuracy meet project, stakeholder, and contractual standards",2,00011
279,Supervise and manage staff assigned to the project by assigning and directing their activities,2,00011
280,Manage activities of subcontractors utilized to deliver the technical solution,0,00000
281,Define and implement development plans for assigned projects,2,00011
282,"Provide detailed direction during various stages of the lifecycle to include requirements analysis, testing and potentially programming support",2,00011
283,Identify and assess new functional capabilities supporting engineering change proposals and additional follow on work,2,00011
284,"Identify, track, manage, and communicate risks and issues with stakeholders and upper management",2,00011
285,Ensure that all appropriate costs are included in quarterly forecasts,0,00000
286,"Coordinate, prepare and manage technical presentations and functional demonstrations to internal and external stakeholders",2,00111
287,Assure the project is in compliance with MAXIMUS standards and procedures,2,00011
288,Responsible for adhering to established safety standards,0,00000
289,Perform other duties as necessary and assigned,2,00011
290,"12+ years of direct IT related experience working on complex, enterprise-wide software solutions",0,00000
291,"Strong interpersonal and team building skills, as well as an understanding of client relationship building are essential",2,00111
292,"Excellent organizational, interpersonal, verbal, and written communication skills, ability to perform quantitative and qualitative analyses",2,00111
293,High degree of confidence and ability to influence others through expert communication skills,2,00011
294,Experience managing IT budgets and resources,2,00011
295,"Ability to perform comfortably in a fast-paced, deadline-oriented work environment",0,00000
296,"Ability to execute many complex tasks simultaneously, and work as a team member as well as independently",2,00011
297,"Experience successfully developing and deploying IT solutions using various development methodologies (e.g., waterfall, iterative, etc.)",2,00011
298,"Skilled in Microsoft Office Software including Word, Excel, Visio, MS Project, and PowerPoint",2,00011
299,"Experience with project management tools and software, such as MS Project or JIRA",2,00011
300,PM Certification preferred,0,00000
301,"Working Knowledge of IVR, Oracle 11g, Oracle Siebel, OBIEE, J2EE, Web Technologies, Web services, XML, or Deployment Management experience is a plus",0,00000
302,"Experience with cloud based projects: AWS, Azure, etc.",0,00000
303,Integration Project Management experience is a plus,0,00000
304,"Relevant industry experience to include government services, healthcare, insurance preferred",0,00000
305,Must be able to remain in a stationary position for an extended period of time,2,00100
306,"Occasionally lifts, carries, or otherwise moves items weighing up to 25lbs",2,00010
307,Are you a client-focused and growth-motivated business-to-business (B2B) sales expert talented in renewal sales and winning back lost clients?,2,00011
308,Can you commit to a consultative sales position guiding businesses through the selection of high-capacity and fiber-based networking services?,2,00011
309,Do you desire a competitive salary with an uncapped sales commission and a focus on professional development?,2,00011
310,Competitive Salary with Sales Incentives,0,00000
311,"Health, Vision and Dental Insurance",2,00011
312,100% Company Match 401(k) up to 6%,0,00000
313,Company Funded Retirement Accumulation Plan for an additional 3%,0,00000
314,Education Assistance,0,00000
315,Pretax Child Care Spending Account,0,00000
316,"Paid Holidays, Vacation Days, Personal Days and Sick Days",2,00011
317,Employee Discount on Spectrum Services Where Available,0,00000
318,Formal Training and Development,2,00011
319,Be an impactful member of the sales team through the achievement of monthly sales and revenue goals.,2,00011
320,Consult with former clients to cultivate new opportunities and develop tailored product solutions highlighting product benefits.,2,00011
321,Develop long-term client relationships to support renewals and upsell opportunities.,2,00011
322,Drive the sales process by coordinating face-to-face meetings with key decision-makers.,0,00000
323,"Build an expansive network through persuasive sales calls, company visits, industry events and peers.",2,00011
324,Entice clients by designing and delivering informative and lucrative product proposals and presentations.,2,00111
325,Maintain an accurate client database to generate sales activity reports.,0,00000
326,Develop key sales skills by attending sales meetings and participating in training sessions.,2,00011
327,Two or more years of B2B sales experience as a proven top sales performer exceeding revenue goals,0,00000
328,"Strong relationship building, negotiation and closing skills",2,00011
329,Ability to efficiently conduct a consultative analysis and provide recommendations,2,00011
330,Deadline-driven with the ability to multi-task and manage change within a fast-paced environment,2,00011
331,Quick learner with the ability to apply knowledge and thrive in a team environment,2,00011
332,"Working knowledge of computers, computer networking, internet solutions and fiber connected networks",2,00011
333,Effective written and spoken English communication skills,2,00011
334,"Four or more years of B2B sales experience selling data, voice, cloud or video solutions",0,00000
335,"Familiar with Salesforce, ICOMS/CSG or other billing systems",0,00000
336,"Proficient with Microsoft Word, Excel, PowerPoint and Outlook",2,00011
337,High School Diploma or equivalent (required),0,00000
338,Conduct effective product demonstrations targeted towards technical and non-technical staff alike,2,00011
339,Serve as the SME for your team in all areas relating to Breach and Attack Simulation,2,00011
340,Offer clients deep technical insights related to software measurement and analysis challenges,2,00011
341,A strong client-facing aptitude and an inclination to engage with customers.,2,00011
342,Experience partnering with technical staff and business leaders.,2,00011
343,A strong ability to simplify complex technical concepts and present to non-technical audiences.,2,00011
344,"Knowledge of Red Teaming, Penetration Testing and Blue Teaming techniques and tools.",2,00011
345,Knowledge of MITRE ATT&CK Framework,0,00000
346,Deep understanding of operating system security,0,00000
347,Experience and knowledge regarding Cloud IaaS and understanding of architecture considerations for lateral movement to critical assets,2,00011
348,Willingness to invest time and efforts in expanding knowledge around the Red Teaming and Blue Teaming tools and techniques.,2,00011
349,5+ years in the field as Sr. Security Sales Engineer,0,00000
350,Bachelors or equivalent work experience,0,00000
351,Strong written and verbal communication skills,2,00011
352,Travel is required for this position,2,00010
353,Information Security,0,00000
354,Information Security / Cyber Security,0,00000
355,Security Solution Sales Engineering,0,00000
356,"Data wrangling, cleaning, and pre-processing",2,00011
357,Conducting exploratory data analysis and communicating insights through clear descriptions and visualizations,2,00011
358,"Developing, testing, and implementing Machine Learning models",2,00011
359,"Conducting research on recent developments in machine learning and AI, with a focus on topics related to pricing, sales, and marketing",2,00011
360,"Being a topic expert on Machine Learning and AI for your project team, enabling strong project planning and team performance",2,00011
361,"Degree in a quantitative field, such as computer science, engineering, statistics, operations research, data science, or equivalent experience",0,00000
362,Experience with Machine Learning and statistical modelling techniques,2,00011
363,Strong programming skills in R and/or Python,2,00011
364,Experience applying advanced analytics and Machine Learning to solve business problems,2,00011
365,"Experience with data visualization software / libraries (Tableau, PowerBI, Matplotlib)",0,00000
366,Comfort working both on a team and autonomously,2,00011
367,"Strong written and verbal communication skills, ability to simply and concisely explain complex analytical topics",2,00011
368,Implementation experience with Machine Learning models and applications,2,00011
369,"Knowledge of cloud-based Machine Learning engines (AWS, Azure, Google, etc.)",0,00000
370,"Experience with large scale data processing tools (Spark, Hadoop, etc.)",0,00000
371,"Ability to query and program databases (SQL, No SQL)",2,00011
372,"Experience with distributed ML frameworks (TensorFlow, PyTorch, etc.)",0,00000
373,"Familiarity with collaborative software tools (Git, Jira, etc.)",0,00000
374,"Experience with user interface libraries / applications (Shiny, Django, etc.)",0,00000
375,"Domain expertise in pricing, demand forecasting, or time-series data",0,00000
376,Why you are interested in a job at Simon-Kucher.,0,00000
377,Specific reasons why your application differentiates you from other candidates.,0,00000
378,Define innovative Digital Content (Similar to google search) and targeted Marketing Sales offerings applying machine learning and AI technologies,2,00011
379,Evangelize and promote Cloud based micro-services architecture and Digital Technology capabilities adoption across organization,2,00011
380,"Responsible for research, design and prototype robust and scalable target audience models applying machine learning, AI, data mining, and statistical",2,00011
381,"Experience in event data analysis , sentiment analysis , modelling to deliver targeted digital content and send real time marketing campaigns.",2,00011
382,Manage onsite and offshore development teams implementing products and platforms in Agile,2,00011
383,"Work collaboratively with QA, DevOPS teams to adopt CI/CD tool chain and develop automation",2,00011
384,Work with technical teams to ensure overall support and stability of platforms and assist with troubleshooting when production incidents arise,2,00011
385,Be a mentor and leader on the team and within the organization,2,00011
386,"Works closely with Account Teams, PMO, Customer, & Key Stakeholders",0,00000
387,Able to execute projects based on a defined Statement of Work (SOW),0,00000
388,Bring clarity to ambiguous engagements where outcomes need to be defined,0,00000
389,Work with Customers to troubleshoot and resolve deployment & integration challenges,2,00011
390,Provide pre-sales scoping assistance as needed in area of expertise,0,00000
391,"Develop & present customer facing documentations associated with design, configurations, run books, and project status",2,00011
392,Subject Matter Expert in designing & implementing large scale Windows Deployments,0,00000
393,Willingness and ability to travel +75% to customer locations in Western/Eastern US and Canada to perform work,2,00011
394,"Self-motivated, takes initiative, ability to work independently & remotely, within a team, or as a leader of a small team",0,00000
395,"Exceptional verbal, written, and consultative skills",2,00011
396,"5+ years hands-on experience designing & deploying Microsoft Windows Images through MDT, SCCM OSD, etc",0,00000
397,Knowledge and proficiency in most of the following technologies:,2,00011
398,"Expertise with MDT & SCCM OS deployment with Legacy & UEFI BIOS, including BIOS to UEFI conversion during deployment.",0,00000
399,Expertise with configuration and usage of USMT.,2,00011
400,"Expertise with explaining Windows Servicing processes, including implementation via GPO, WSUS, SCCM, Task Sequence, and optionally MDM",2,00011
401,Experience configuring and working with Upgrade Readiness (Upgrade Analytics),2,00011
402,Expertise designing and deploying BitLocker policies & MBAM,2,00011
403,"Expertise in scripting (VBScript, Powershell, AutoIT)",0,00000
404,"Application Deployment (wrappers, task sequences etc)",0,00000
405,Knowledge and proficiency in configuring the following networking and security technologies:,2,00011
406,LAN/WAN implications to image build,0,00000
407,Active Directory domain join on premise and through VPN,2,00011
408,Firewall & Security technologies,0,00000
409,"Promotional Money (PM). Money that is paid to you, above and beyond your base salary as an additional incentive on certain products.",2,00011
410,"The ability for you to generate sales, not only for the benefit to the company and your store, but for you and your financial well-being.",2,00011
411,The drive to achieve and exceed personal sales and productivity goals,2,00011
412,"Display an awareness of all store communications including: product information, advertising, promotions and other marketing initiatives",2,00011
413,"Boost product knowledge by learning the features, advantages and benefits. Staying on top of nutritional, wellness trends",2,00011
414,High school diploma or GED preferred,0,00000
415,Lead a team of software engineers and testers through every aspect of delivering a SaaS product.,2,00011
416,"Be comfortable wearing many hats, getting deep into the details, and contributing where necessary",2,00011
417,"Focus on results, not just getting work done. Set goals and go for them.",2,00011
418,Promote processes and practices that allow the team to sustainably deliver high-quality software at a rapid pace. Make it easy for others to succeed.,2,00011
419,"Create an environment of trust, optimism, and positivity that allows your team to blossom.",2,00011
420,"Communicate well and frequently, keeping senior management and teammates informed of status, risks, and opportunities.",2,00011
421,"Build enterprise web applications using a variety of tools and languages, including AngularJS, C#/ ASP.NET Core, SQL, and Azure Functions.",2,00011
422,Build an effective product.,2,00011
423,Lead design discussions and ensure designs align with the Matrix architecture vision.,2,00011
424,Understand best modern practices; a good eye for UI design is an asset.,0,00000
425,Help build a culture of learning and continuous improvement.,2,00011
426,Reduce waste in the development process by identifying and removing friction.,2,00011
427,"Grow your teammates by providing feedback, guidance and mentoring.",2,00011
428,Be eager to learn and unafraid to do things you've never done before.,2,00011
429,"Medical, Dental, Vision benefits",2,00001
430,Life and Short/Long Term Disability Insurance,2,00011
431,401k w/ Company Match,0,00000
432,Company Paid Holidays & Generous Time-off policy,0,00000
433,Employee Discount Program,0,00000
434,Career Advancement and Development Opportunities,2,00011
435,On-site Healthcare Clinic (Winston-Salem and Cleveland offices),2,00011
436,On-site Fitness Center (Cleveland and Dallas offices),2,00011
437,Subsidized parking (Cleveland office),0,00000
438,"Produce sales gains, by providing customer service.",0,00000
439,Meet or Exceed Company Objectives in all measurable areas of the business.,0,00000
440,"Adhere to current visual guidelines including proper merchandising, signage and store cleanliness.",2,00011
441,"Maintain strong product knowledge for use in selling, merchandising, and giving feedback as requested.",2,00011
442,Ensure that all associates maintain a professional appearance consistent with company dress code policy.,0,00000
443,Protect Company assets within guidelines of LIDS Retail policies.,0,00000
